Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-04-24,1,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,23.48B,31.26,75.75,0.88%,1648604
AA,2020-04-24,2,Alcoa Corporation,Basic Materials,Aluminum,USA,1.39B,-,7.15,-1.92%,11272082
AAAU,2020-04-24,3,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,17.23,-0.40%,394249
AACG,2020-04-24,4,ATA Creativity Global,Services,Education & Training Services,China,21.53M,-,0.75,1.35%,7119
AADR,2020-04-24,5,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,45.01,0.35%,7097
AAL,2020-04-24,6,American Airlines Group Inc.,Services,Major Airlines,USA,4.88B,2.71,10.31,0.59%,66854629
AAMC,2020-04-24,7,Altisource Asset Management Corporation,Financial,Asset Management,USA,21.06M,-,13.95,3.33%,2886
AAME,2020-04-24,8,Atlantic American Corporation,Financial,Life Insurance,USA,32.60M,-,1.63,-6.27%,30481
AAN,2020-04-24,9,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,1.73B,61.93,25.7,6.46%,1051788
AAOI,2020-04-24,10,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,186.71M,-,9.09,3.77%,783352
AAON,2020-04-24,11,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.54B,46.74,47.67,-0.63%,197384
AAP,2020-04-24,12,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,8.16B,17.20,117.59,3.70%,951753
AAPL,2020-04-24,13,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1249.32B,22.35,282.97,2.89%,31274973
AAT,2020-04-24,14,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.64B,30.75,25.98,-0.57%,307993
AAU,2020-04-24,15,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,42.08M,-,0.39,2.90%,302119
AAWW,2020-04-24,16,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,769.15M,-,29.72,6.45%,493679
AAXJ,2020-04-24,17,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,62.75,0.14%,652515
AAXN,2020-04-24,18,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,4.36B,5526.15,71.84,1.54%,815924
AB,2020-04-24,19,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,1.99B,8.10,20.14,2.76%,319702
ABB,2020-04-24,20,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,38.48B,37.12,17.41,2.05%,2081930
ABBV,2020-04-24,21,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,123.37B,15.83,83.59,1.89%,6613174
ABC,2020-04-24,22,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,18.70B,28.78,88.7,1.65%,1193788
ABCB,2020-04-24,23,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.69B,7.91,22.52,3.45%,600119
