Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-06-18,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,26.90B,40.48,88.21,0.33%,1441095,24.82,4.33,5.14,5.72,20.31,59.37,26.10%,14.68%,37.50%,9.35%,5.00%,309.00M,307.66M,0.50%,-6.68%,89.80%,1.16%,1.67%,2.3,2.23M,3.74%,7.61%,34.14%,5.07%,21.42%,3.40%,2.85%,2.36%,2.20,0.65,0.82%,7.40%,14.30%,15.20%,1.60,1.20,0.38,0.52,53.70%,15.10%,13.00%,May 21/a,1.13,2.31,0.80%,7.96%,10.91%,-5.19%,44.30%,60.03,0.89%,-0.56%
AA,2020-06-18,Alcoa Corporation,Basic Materials,Aluminum,USA,1.96B,-,11.65,0.87%,6057893,-,-,0.19,0.51,2.36,72.50,-559.70%,84.30%,-34.10%,-,-4.50%,186.00M,185.07M,0.60%,0.04%,78.50%,-12.55%,6.38%,1.19,9.90M,11.80%,50.52%,99.83%,-43.75%,-47.99%,-45.84%,6.17%,7.31%,2.60,0.61,-,-5.80%,-19.00%,-9.60%,1.50,0.80,0.42,0.42,17.00%,-2.00%,-8.40%,Apr 22/a,2.21,0.86,10.88%,33.81%,-23.71%,-52.70%,125.78%,61.66,3.46%,-2.51%
AAL,2020-06-18,American Airlines Group Inc.,Industrials,Airlines,USA,5.99B,-,16.49,-2.89%,63324452,-,-,0.14,-,1.68,-,25.20%,90.50%,-0.70%,-3.32%,1.40%,425.71M,416.46M,1.30%,1.16%,71.30%,-18.97%,30.49%,1.38,91.99M,14.67%,71.06%,60.25%,-41.69%,-50.35%,-42.50%,9.22%,10.79%,3.40,0.69,2.43%,-1.20%,113.10%,10.30%,0.40,0.30,-,-,60.30%,0.30%,-1.70%,Apr 30/b,1.62,1.75,17.26%,37.87%,-25.66%,-52.87%,99.88%,58.61,0.73%,-3.59%
AAN,2020-06-18,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.83B,-,43.38,-2.10%,639126,10.96,-,0.70,2.00,5.13,10.17,-83.50%,24.63%,-15.70%,10.10%,7.90%,66.82M,66.71M,1.10%,0.00%,-,-1.91%,6.07%,3.61,1.12M,3.33%,34.43%,137.83%,-27.86%,-29.20%,-24.04%,6.20%,6.13%,1.90,0.57,0.37%,-9.50%,-17.70%,2.10%,-,-,0.45,0.45,96.80%,-9.30%,-7.50%,May 07/b,1.57,2.88,6.24%,30.25%,-11.91%,-44.84%,233.56%,59.66,-1.45%,-0.65%
AAOI,2020-06-18,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,197.70M,-,9.9,-2.75%,790381,-,-,1.11,0.78,-,-,-12.80%,84.50%,-68.80%,13.00%,7.90%,20.21M,19.12M,6.60%,-2.25%,60.30%,-0.94%,29.02%,7.63,727.56K,14.45%,17.30%,51.15%,-11.92%,12.63%,-16.67%,7.85%,5.37%,3.20,1.09,-,-15.20%,-25.30%,-15.60%,1.90,1.00,0.36,0.54,22.50%,-30.60%,-40.50%,May 07/a,1.96,0.56,7.41%,7.77%,-3.11%,-38.05%,98.00%,57.74,-1.88%,-0.88%
AAON,2020-06-18,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.77B,43.58,53.38,0.47%,133321,38.40,3.63,5.63,9.08,-,44.74,27.00%,-4.20%,5.10%,12.00%,5.70%,52.07M,40.58M,19.60%,-1.85%,71.20%,-3.62%,8.01%,12.2,266.57K,2.87%,6.93%,8.56%,6.36%,10.59%,8.03%,4.21%,3.73%,3.30,0.5,0.71%,17.70%,22.70%,18.10%,3.10,1.90,0.02,0.02,27.70%,16.30%,13.10%,May 07/b,0.75,2.18,-1.63%,6.43%,6.62%,-11.03%,31.86%,53.28,0.32%,0.15%
AAP,2020-06-18,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.01B,26.92,147.71,-0.63%,587984,17.62,3.64,1.06,2.89,7.82,28.49,21.10%,31.00%,0.40%,7.40%,-0.30%,69.18M,68.86M,0.40%,2.45%,-,-1.38%,2.84%,1.8,1.09M,10.95%,8.75%,71.82%,-6.50%,-3.94%,-7.77%,4.60%,3.43%,2.30,0.54,0.68%,3.40%,10.90%,12.30%,1.40,0.40,0.35,0.49,43.70%,5.80%,4.10%,May 19/b,1.32,5.47,5.59%,16.37%,5.19%,-13.84%,107.08%,65.04,0.21%,-0.83%
AAPL,2020-06-18,Apple Inc.,Technology,Consumer Electronics,USA,1511.46B,27.57,351.73,0.04%,23860723,23.66,2.40,5.64,19.55,16.07,28.73,-2.60%,20.04%,13.00%,11.48%,7.30%,4.36B,4.33B,0.10%,-2.21%,62.00%,-0.64%,0.79%,0.83,41.11M,4.71%,12.32%,43.69%,25.43%,77.76%,19.78%,2.58%,2.22%,2.00,0.58,0.93%,17.30%,64.50%,26.90%,1.50,1.50,1.14,1.40,38.10%,24.50%,21.40%,Apr 30/a,1.16,8.41,6.56%,14.90%,27.06%,-1.03%,82.64%,71.83,0.08%,-0.04%
AAT,2020-06-18,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.68B,38.71,29.73,-0.47%,316754,42.47,12.90,4.45,1.35,16.96,-,101.50%,20.69%,18.40%,3.00%,7.10%,59.73M,59.39M,0.50%,41.46%,99.40%,-0.97%,0.75%,0.99,451.28K,5.24%,18.45%,31.96%,-32.98%,-37.66%,-35.23%,4.61%,4.97%,2.70,0.7,2.69%,1.50%,3.30%,4.30%,-,-,1.03,1.03,64.10%,28.00%,10.50%,Apr 28/a,0.97,1.75,2.40%,7.73%,-24.80%,-39.65%,47.54%,53.1,1.71%,-2.14%
AAU,2020-06-18,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,53.66M,-,0.49,-2.03%,209146,-,-,-,1.07,29.81,-,-3.20%,-,31.70%,-,-,112.03M,111.70M,7.20%,0.00%,5.90%,53.64%,1.05%,2.94,399.63K,1.32%,5.64%,81.96%,-3.46%,-9.04%,-16.59%,6.96%,7.73%,-,0.52,-,-4.50%,-4.80%,-,3.90,3.90,0.04,0.04,-,-,-,Apr 09/a,1.06,0.04,1.72%,13.56%,-0.75%,-40.09%,131.64%,53.92,-1.40%,-0.64%
