,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2760,2761,FXE,Invesco CurrencyShares Euro Currency Trust,Financial,Exchange Traded Fund,USA,-,-,106.27,0.82%,78209
2761,2762,FXF,Invesco CurrencyShares Swiss Franc Trust,Financial,Exchange Traded Fund,USA,-,-,97.24,1.12%,34538
2762,2763,FXG,First Trust Consumer Staples AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,45.91,-1.42%,32912
2763,2764,FXH,First Trust Health Care AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,82.77,-2.39%,82543
2764,2765,FXI,iShares China Large-Cap ETF,Financial,Exchange Traded Fund,USA,-,-,41.08,-0.44%,40637765
2765,2766,FXL,First Trust Technology AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,68.61,-3.18%,187485
2766,2767,FXN,First Trust Energy AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,6.76,-3.84%,119751
2767,2768,FXO,First Trust Financials AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,29.28,-4.31%,511223
2768,2769,FXP,ProShares UltraShort FTSE China 50,Financial,Exchange Traded Fund,USA,-,-,59.12,0.78%,134582
2769,2770,FXR,First Trust Industrials/Producer Durables AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,38.52,-5.10%,55295
2770,2771,FXU,First Trust Utilities AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,29.47,-2.45%,181210
2771,2772,FXY,Invesco CurrencyShares Japanese Yen Trust,Financial,Exchange Traded Fund,USA,-,-,89.48,1.35%,151089
2772,2773,FXZ,First Trust Materials AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,34.06,-3.92%,13513
2773,2774,FYC,First Trust Small Cap Growth AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,42.3,-3.37%,20889
2774,2775,FYLD,Cambria Foreign Shareholder Yield ETF,Financial,Exchange Traded Fund,USA,-,-,20.86,-2.68%,10004
2775,2776,FYT,First Trust Small Cap Value AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,30.12,-4.42%,8796
2776,2777,FYX,First Trust Small Cap Core AlphaDEX Fund,Financial,Exchange Traded Fund,USA,-,-,54.61,-3.92%,49162
2777,2778,G,Genpact Limited,Technology,Information Technology Services,Bermuda,7.66B,24.93,38.96,-3.99%,1097690
2778,2779,GAA,Cambria Global Asset Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,26.93,-0.16%,14492
2779,2780,GAB,The Gabelli Equity Trust Inc.,Financial,Closed-End Fund - Equity,USA,1.49B,20.35,5.8,-2.85%,1116462
2780,2781,GABC,"German American Bancorp, Inc.",Financial,Regional - Midwest Banks,USA,809.93M,12.73,29.25,-3.94%,63464
2781,2782,GAIA,"Gaia, Inc.",Services,Catalog & Mail Order Houses,USA,132.49M,-,7.34,-3.55%,63601
2782,2783,GAIN,Gladstone Investment Corporation,Financial,Diversified Investments,USA,402.54M,12.19,12.18,-1.93%,203309
2783,2784,GAINL,Gladstone Investment Corporation,Financial,Asset Management,USA,832.38M,25.39,25.36,-1.09%,3547
2784,2785,GAINM,Gladstone Investment Corporation,Financial,Asset Management,USA,828.60M,25.27,25.25,-0.41%,2485
2785,2786,GAL,SPDR SSgA Global Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,37.97,-1.85%,18948
2786,2787,GALT,"Galectin Therapeutics, Inc.",Healthcare,Biotechnology,USA,131.02M,-,2.24,-8.94%,142954
2787,2788,GAM,"General American Investors Company, Inc.",Financial,Closed-End Fund - Equity,USA,856.01M,3.00,34.63,-2.83%,50567
2788,2789,GAMR,ETFMG Video Game Tech ETF,Financial,Exchange Traded Fund,USA,-,-,45.9,-1.68%,66617
2789,2790,GARD,Reality Shares Divcon Dividend Guard ETF,Financial,Exchange Traded Fund,USA,-,-,26.26,-1.57%,6755
2790,2791,GARS,Garrison Capital Inc.,Financial,Asset Management,USA,94.85M,-,5.91,-1.34%,22238
2791,2792,GASL,Direxion Daily Natural Gas Related Bull 3X Shares,Financial,Exchange Traded Fund,USA,-,-,1.82,-10.78%,6080599
2792,2793,GASS,StealthGas Inc.,Services,Shipping,Greece,101.55M,47.17,2.5,-3.47%,79710
2793,2794,GASX,Direxion Daily Natural Gas Related Bear 3X Shares,Financial,Exchange Traded Fund,USA,-,-,167.17,11.25%,54457
2794,2795,GATX,GATX Corporation,Services,Rental & Leasing Services,USA,2.53B,12.40,71.96,-2.10%,335609
2795,2796,GAZ,iPath Series B Bloomberg Natural Gas Subindex Total ReturnSM ETN,Financial,Exchange Traded Fund,USA,-,-,20.25,-3.65%,2301
2796,2797,GBAB,Guggenheim Taxable Municipal Managed Duration Trust,Financial,Closed-End Fund - Debt,USA,438.95M,-,24.12,-0.25%,137358
2797,2798,GBCI,"Glacier Bancorp, Inc.",Financial,Regional - Pacific Banks,USA,3.56B,15.56,37.08,-5.91%,325632
2798,2799,GBDC,"Golub Capital BDC, Inc.",Financial,Asset Management,USA,2.28B,138.54,17.04,-2.07%,672144
2799,2800,GBDV,Global Beta Smart Income ETF,Financial,Exchange Traded Fund,USA,-,-,17.22,-3.32%,200
2800,2801,GBF,iShares Government/Credit Bond ETF,Financial,Exchange Traded Fund,USA,-,-,123.91,0.55%,9914
2801,2802,GBIL,Goldman Sachs Access Treasury 0-1 Year ETF,Financial,Exchange Traded Fund,USA,-,-,100.57,0.06%,978460
2802,2803,GBL,"GAMCO Investors, Inc.",Financial,Asset Management,USA,400.68M,4.80,14.31,-7.86%,10931
2803,2804,GBLI,Global Indemnity Limited,Financial,Property & Casualty Insurance,Ireland,452.53M,6.58,32.14,-3.71%,21864
2804,2805,GBR,"New Concept Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,5.21M,-,1.04,-3.35%,14946
2805,2806,GBT,"Global Blood Therapeutics, Inc.",Healthcare,Biotechnology,USA,3.88B,-,66.75,-0.86%,576500
2806,2807,GBUG,iPath Gold ETN,Financial,Exchange Traded Fund,USA,-,-,27.72,2.13%,401
2807,2808,GBUY,Goldman Sachs Motif New Age Consumer ETF,Financial,Exchange Traded Fund,USA,-,-,55.81,-1.52%,1162
2808,2809,GBX,"The Greenbrier Companies, Inc.",Services,Railroads,USA,758.81M,10.97,23.05,-5.22%,278996
2809,2810,GCAP,"GAIN Capital Holdings, Inc.",Financial,Investment Brokerage - National,USA,222.65M,-,5.99,-0.33%,1401441
2810,2811,GCBC,"Greene County Bancorp, Inc.",Financial,Savings & Loans,USA,242.35M,12.56,27.2,-1.77%,6199
2811,2812,GCC,WisdomTree Continuous Commodity Index Fund,Financial,Exchange Traded Fund,USA,-,-,16.99,-1.05%,55385
2812,2813,GCE,Claymore CEF GS Connect ETN,Financial,Exchange Traded Fund,USA,-,-,14.32,4.30%,3
2813,2814,GCI,"Gannett Co., Inc.",Services,Publishing - Newspapers,USA,539.92M,-,3.85,-7.23%,2987610
2814,2815,GCO,Genesco Inc.,Services,Apparel Stores,USA,422.49M,7.87,29.9,-7.77%,458227
2815,2816,GCOW,Pacer Global Cash Cows Dividend ETF,Financial,Exchange Traded Fund,USA,-,-,27.74,-2.05%,81928
2816,2817,GCP,GCP Applied Technologies Inc.,Basic Materials,Specialty Chemicals,USA,1.47B,36.10,20.11,-4.60%,706031
2817,2818,GCV,The Gabelli Convertible and Income Securities Fund Inc.,Financial,Closed-End Fund - Equity,USA,104.67M,15.12,5.58,0.18%,58392
2818,2819,GD,General Dynamics Corporation,Industrial Goods,Aerospace/Defense Products & Services,USA,49.23B,13.64,163.36,-2.92%,2941015
2819,2820,GDAT,Goldman Sachs Motif Data-Driven World ETF,Financial,Exchange Traded Fund,USA,-,-,55.63,-2.73%,1773
2820,2821,GDDY,GoDaddy Inc.,Technology,Internet Software & Services,USA,11.70B,88.05,66.74,-2.61%,1205362
2821,2822,GDEN,"Golden Entertainment, Inc.",Services,Resorts & Casinos,USA,351.78M,-,12.3,-14.17%,170188
2822,2823,GDI,"Gardner Denver Holdings, Inc.",Industrial Goods,Diversified Machinery,USA,6.90B,43.03,32.79,0.00%,0
2823,2824,GDL,The GDL Fund,Financial,Closed-End Fund - Equity,USA,146.26M,-,8.93,-1.76%,44490
2824,2825,GDMA,Gadsden Dynamic Multi-Asset ETF New,Financial,Exchange Traded Fund,USA,-,-,26.1,-0.46%,12635
2825,2826,GDNA,Goldman Sachs Motif Human Evolution ETF,Financial,Exchange Traded Fund,USA,-,-,55.19,-2.02%,2684
2826,2827,GDO,Western Asset Global Corporate Defined Opportunity Fund Inc.,Financial,Asset Management,USA,264.15M,-,17.68,-0.62%,13315
2827,2828,GDOT,Green Dot Corporation,Financial,Credit Services,USA,1.71B,18.12,33.36,-0.51%,678731
2828,2829,GDP,Goodrich Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,58.56M,3.82,5.28,-1.68%,32599
2829,2830,GDS,GDS Holdings Limited,Technology,Data Storage Devices,China,9.67B,-,63.03,-0.22%,1462964
2830,2831,GDV,The Gabelli Dividend & Income Trust,Financial,Closed-End Fund - Equity,USA,1.60B,22.87,19.3,-3.36%,265440
2831,2832,GDVD,Principal Active Global Dividend Income ETF,Financial,Exchange Traded Fund,USA,-,-,26.93,-3.10%,1848
2832,2833,GDX,VanEck Vectors Gold Miners ETF,Financial,Exchange Traded Fund,USA,-,-,29.82,2.37%,67700076
2833,2834,GDXJ,VanEck Vectors Junior Gold Miners ETF,Financial,Exchange Traded Fund,USA,-,-,40.91,1.79%,13678179
2834,2835,GE,General Electric Company,Industrial Goods,Diversified Machinery,USA,88.03B,-,10.08,-7.95%,107723073
2835,2836,GEC,"Great Elm Capital Group, Inc.",Financial,Asset Management,USA,69.17M,-,2.78,-4.47%,27493
2836,2837,GECC,Great Elm Capital Corporation,Financial,Asset Management,USA,67.32M,-,6.69,0.75%,72593
2837,2838,GEF,"Greif, Inc.",Consumer Goods,Packaging & Containers,USA,1.65B,9.33,33.56,-4.98%,312005
2838,2839,GEF-B,"Greif, Inc.",Consumer Goods,Packaging & Containers,USA,825.51M,10.44,37.51,-4.82%,34078
2839,2840,GEL,"Genesis Energy, L.P.",Basic Materials,Oil & Gas Pipelines,USA,1.19B,52.95,9.32,-5.57%,1806227
2840,2841,GEM,Goldman Sachs ActiveBeta Emerging Markets Equity ETF,Financial,Exchange Traded Fund,USA,-,-,31.26,-1.76%,345511
2841,2842,GEN,"Genesis Healthcare, Inc.",Healthcare,Long-Term Care Facilities,USA,260.37M,-,1.58,-7.06%,509344
2842,2843,GENC,"Gencor Industries, Inc.",Industrial Goods,Farm & Construction Machinery,USA,140.97M,11.66,9.81,-4.48%,28281
2843,2844,GENE,Genetic Technologies Limited,Healthcare,Medical Laboratories & Research,Australia,22.28M,-,2.92,-1.02%,13429
2844,2845,GENY,Principal Millennials Index ETF,Financial,Exchange Traded Fund,USA,-,-,38.53,-2.04%,2932
2845,2846,GEO,"The GEO Group, Inc.",Financial,REIT - Healthcare Facilities,USA,2.22B,12.14,16.99,0.53%,1385360
2846,2847,GEOS,Geospace Technologies Corporation,Basic Materials,Oil & Gas Equipment & Services,USA,150.59M,32.19,10.59,-7.11%,59981
2847,2848,GER,Goldman Sachs MLP and Energy Renaissance Fund,Financial,Closed-End Fund - Equity,USA,232.05M,-,2.92,-7.30%,960989
2848,2849,GERN,Geron Corporation,Healthcare,Biotechnology,USA,204.19M,-,1.13,-1.74%,718124
2849,2850,GES,"Guess', Inc.",Services,Apparel Stores,USA,952.86M,18.04,14.49,-7.41%,1684109
2850,2851,GEVO,"Gevo, Inc.",Basic Materials,Specialty Chemicals,USA,23.40M,-,1.56,-2.19%,111873
2851,2852,GF,"The New Germany Fund, Inc.",Financial,Closed-End Fund - Foreign,Germany,232.87M,-,14.35,-2.31%,34701
2852,2853,GFED,"Guaranty Federal Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,101.05M,11.14,23.5,-1.01%,11159
2853,2854,GFF,Griffon Corporation,Industrial Goods,General Building Materials,USA,860.93M,16.28,17.91,0.00%,238726
2854,2855,GFI,Gold Fields Limited,Basic Materials,Gold,South Africa,7.63B,36.15,7.05,5.38%,7189267
2855,2856,GFIN,Goldman Sachs Motif Finance Reimagined ETF,Financial,Exchange Traded Fund,USA,-,-,57.71,-3.32%,3903
2856,2857,GFN,General Finance Corporation,Services,Rental & Leasing Services,USA,245.78M,10.97,7.84,-1.26%,16422
2857,2858,GFNCP,General Finance Corporation,Services,Rental & Leasing Services,USA,3.14B,180.75,103.75,-1.19%,989
2858,2859,GFY,Western Asset Variable Rate Strategic Fund Inc.,Financial,Closed-End Fund - Debt,USA,78.67M,32.85,16.85,0.10%,1548
2859,2860,GGAL,Grupo Financiero Galicia S.A.,Financial,Foreign Regional Banks,Argentina,2.07B,3.19,13.19,-2.80%,579306
2860,2861,GGB,Gerdau S.A.,Basic Materials,Steel & Iron,Brazil,6.29B,23.67,3.74,-6.73%,14437139
2861,2862,GGG,Graco Inc.,Industrial Goods,Diversified Machinery,USA,8.76B,25.23,50.56,-2.49%,858589
2862,2863,GGM,Guggenheim Credit Allocation Fund,Financial,Closed-End Fund - Debt,USA,170.20M,-,19.85,-2.22%,60846
2863,2864,GGN,"GAMCO Global Gold, Natural Resources & Income Trust",Financial,Diversified Investments,USA,528.95M,-,3.88,-1.02%,732164
2864,2865,GGO,The Gabelli Go Anywhere Trust,Financial,Asset Management,USA,20.37M,-,12.63,-4.68%,955
2865,2866,GGT,The Gabelli Multimedia Trust Inc.,Financial,Closed-End Fund - Equity,USA,184.96M,-,7.45,-3.99%,99168
2866,2867,GGZ,The Gabelli Global Small and Mid Cap Value Trust,Financial,Closed-End Fund - Equity,USA,98.98M,-,10.27,-3.05%,48984
2867,2868,GH,"Guardant Health, Inc.",Healthcare,Medical Laboratories & Research,USA,7.77B,-,83.29,0.11%,1374418
2868,2869,GHC,Graham Holdings Company,Services,Education & Training Services,USA,2.53B,7.95,486.58,-1.67%,33331
2869,2870,GHG,GreenTree Hospitality Group Ltd.,Services,Lodging,China,1.22B,20.34,11.98,1.01%,211743
2870,2871,GHL,"Greenhill & Co., Inc.",Financial,Investment Brokerage - Regional,USA,226.67M,21.94,11.21,-14.56%,169560
2871,2872,GHM,Graham Corporation,Industrial Goods,Metal Fabrication,USA,159.09M,-,15.83,-1.37%,29490
2872,2873,GHSI,"Guardion Health Sciences, Inc.",Healthcare,Drugs - Generic,USA,36.94M,-,0.44,1.18%,13757770
2873,2874,GHY,"PGIM Global High Yield Fund, Inc",Financial,Closed-End Fund - Debt,USA,599.94M,-,14.66,-2.01%,155190
2874,2875,GHYB,Goldman Sachs Access High Yield Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,48.92,-1.19%,3485
2875,2876,GHYG,iShares US & Intl High Yield Corp Bond ETF,Financial,Exchange Traded Fund,USA,-,-,48.73,-0.85%,15047
2876,2877,GIB,CGI Inc.,Technology,Information Technology Services,Canada,17.39B,21.16,71.22,-1.44%,249649
2877,2878,GIFI,"Gulf Island Fabrication, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,64.57M,-,4.22,-5.17%,216084
2878,2879,GIGB,Goldman Sachs Access Investment Grade Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,54.62,0.17%,34645
2879,2880,GIGE,SoFi Gig Economy ETF,Financial,Exchange Traded Fund,USA,-,-,18.68,-1.51%,202
2880,2881,GIGM,GigaMedia Limited,Technology,Multimedia & Graphics Software,Taiwan,25.70M,-,2.38,-0.83%,1199
2881,2882,GII,SPDR S&P Global Infrastructure ETF,Financial,Exchange Traded Fund,USA,-,-,52.27,-2.61%,11578
2882,2883,GIII,"G-III Apparel Group, Ltd.",Consumer Goods,Textile - Apparel Clothing,USA,925.20M,6.73,19.66,-9.90%,698792
2883,2884,GIL,Gildan Activewear Inc.,Consumer Goods,Textile - Apparel Clothing,Canada,4.85B,18.60,23.62,-4.45%,900303
2884,2885,GILD,"Gilead Sciences, Inc.",Healthcare,Biotechnology,USA,100.78B,18.09,76.13,0.16%,22631822
2885,2886,GILT,Gilat Satellite Networks Ltd.,Technology,Communication Equipment,Israel,498.12M,13.77,8.98,-5.27%,715930
2886,2887,GIM,Templeton Global Income Fund,Financial,Closed-End Fund - Debt,USA,795.47M,13.18,5.93,-1.17%,531615
2887,2888,GIS,"General Mills, Inc.",Consumer Goods,Processed & Packaged Goods,USA,33.61B,15.68,54.3,0.24%,5362526
2888,2889,GIX,"GigCapital2, Inc.",Conglomerates,Conglomerates,USA,222.67M,-,10.01,-0.43%,275
2889,2890,GKOS,Glaukos Corporation,Healthcare,Medical Instruments & Supplies,USA,2.42B,-,39.91,-5.58%,836889
2890,2891,GL,Globe Life Inc.,Financial,Life Insurance,USA,10.00B,13.12,89.65,-5.68%,636493
2891,2892,GLAD,Gladstone Capital Corporation,Financial,Closed-End Fund - Debt,USA,280.39M,11.08,9.03,-1.42%,197086
2892,2893,GLBS,Globus Maritime Limited,Services,Shipping,Greece,2.48M,-,0.53,-10.08%,1278009
2893,2894,GLBY,WisdomTree Yield Enhanced Global Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,27.45,0.73%,1
2894,2895,GLBZ,Glen Burnie Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,27.32M,18.28,10.35,-1.91%,30
2895,2896,GLD,SPDR Gold Shares,Financial,Exchange Traded Fund,USA,-,-,157.49,2.16%,17708714
2896,2897,GLDD,Great Lakes Dredge & Dock Corporation,Industrial Goods,Heavy Construction,USA,651.04M,11.74,10.05,0.10%,648743
2897,2898,GLDI,Credit Suisse X-Links Gold Shares Covered Call ETN,Financial,Exchange Traded Fund,USA,-,-,9.4,0.53%,25309
2898,2899,GLDM,SPDR Gold MiniShares,Financial,Exchange Traded Fund,USA,-,-,16.68,2.14%,2260546
2899,2900,GLG,"Bat Group, Inc.",Financial,Asset Management,China,21.96M,-,1.56,0.65%,15263
2900,2901,GLIBA,"GCI Liberty, Inc.",Technology,Telecom Services - Domestic,USA,7.79B,3.90,71.21,-3.99%,229748
2901,2902,GLIBP,"GCI Liberty, Inc.",Technology,Telecom Services - Domestic,USA,3.05B,1.54,28.25,-2.83%,3271
2902,2903,GLIF,AGFiQ Global Infrastructure ETF,Financial,Exchange Traded Fund,USA,-,-,26.54,-2.15%,252
2903,2904,GLL,ProShares UltraShort Gold,Financial,Exchange Traded Fund,USA,-,-,43.49,-4.19%,124745
2904,2905,GLMD,Galmed Pharmaceuticals Ltd.,Healthcare,Biotechnology,Israel,104.29M,-,5.14,-2.10%,81553
2905,2906,GLNG,Golar LNG Limited,Services,Shipping,Bermuda,1.21B,-,12.01,-5.51%,2107923
2906,2907,GLO,Clough Global Opportunities Fund,Financial,Asset Management,USA,309.35M,9.76,9.6,-2.34%,130509
2907,2908,GLOB,Globant S.A.,Technology,Information Technology Services,Luxembourg,4.10B,81.99,117.58,-0.83%,170213
2908,2909,GLOG,GasLog Ltd.,Services,Shipping,Monaco,399.30M,-,4.86,-8.47%,1084636
2909,2910,GLOP,GasLog Partners LP,Services,Shipping,Monaco,168.72M,-,3.32,-7.00%,928936
2910,2911,GLOW,"Glowpoint, Inc.",Technology,Diversified Communication Services,USA,12.10M,-,2.15,-15.02%,558013
2911,2912,GLP,Global Partners LP,Services,Basic Materials Wholesale,USA,528.83M,7.15,16.89,-2.60%,183055
2912,2913,GLPG,Galapagos NV,Healthcare,Biotechnology,Belgium,13.80B,-,213.44,-4.36%,153212
2913,2914,GLPI,"Gaming and Leisure Properties, Inc.",Financial,REIT - Diversified,USA,9.45B,24.34,44.0,-5.96%,1868727
2914,2915,GLQ,Clough Global Equity Fund,Financial,Asset Management,USA,159.03M,12.63,12.02,-1.56%,37472
2915,2916,GLRE,"Greenlight Capital Re, Ltd.",Financial,Accident & Health Insurance,Cayman Islands,357.88M,-,9.31,0.22%,258771
2916,2917,GLT,P. H. Glatfelter Company,Consumer Goods,Paper & Paper Products,USA,641.41M,-,14.1,-5.37%,196900
2917,2918,GLTR,Aberdeen Standard Physical Precious Metals Basket Shares ETF,Financial,Exchange Traded Fund,USA,-,-,83.45,1.62%,52161
2918,2919,GLU,The Gabelli Global Utility & Income Trust,Financial,Closed-End Fund - Equity,USA,96.65M,15.49,18.0,-1.69%,13841
2919,2920,GLUU,Glu Mobile Inc.,Technology,Multimedia & Graphics Software,USA,1.02B,129.81,7.01,-1.54%,1725882
2920,2921,GLV,Clough Global Dividend and Income Fund,Financial,Asset Management,USA,77.21M,9.97,11.02,-2.22%,43515
2921,2922,GLW,Corning Incorporated,Technology,Diversified Electronics,USA,18.92B,23.38,24.6,-1.95%,7951490
2922,2923,GLYC,"GlycoMimetics, Inc.",Healthcare,Biotechnology,USA,151.10M,-,3.49,-0.29%,169204
2923,2924,GM,General Motors Company,Consumer Goods,Auto Manufacturers - Major,USA,43.31B,6.58,30.1,-4.54%,17878475
2924,2925,GMAB,Genmab A/S,Healthcare,Biotechnology,Denmark,15.47B,-,23.83,-1.20%,168240
2925,2926,GMAN,Goldman Sachs Motif Manufacturing Revolution ETF,Financial,Exchange Traded Fund,USA,-,-,53.72,-3.48%,1639
2926,2927,GMDA,Gamida Cell Ltd.,Healthcare,Biotechnology,Israel,150.19M,-,4.47,-4.69%,26576
2927,2928,GME,GameStop Corp.,Services,Electronics Stores,USA,251.70M,-,3.96,5.04%,3598326
2928,2929,GMED,"Globus Medical, Inc.",Healthcare,Medical Appliances & Equipment,USA,4.68B,29.47,44.82,-3.47%,1136591
2929,2930,GMF,SPDR S&P Emerging Asia Pacific ETF,Financial,Exchange Traded Fund,USA,-,-,98.25,-1.51%,20947
2930,2931,GMHI,"Gores Metropoulos, Inc.",Conglomerates,Conglomerates,USA,424.00M,-,10.6,0.00%,4263
2931,2932,GMHIU,"Gores Metropoulos, Inc.",Conglomerates,Conglomerates,USA,886.54M,-,11.5,0.35%,11985
2932,2933,GMLP,Golar LNG Partners LP,Services,Shipping,Bermuda,270.72M,16.10,4.04,-3.81%,351652
2933,2934,GMLPP,Golar LNG Partners LP 8.75% CUM PFD A,Services,Shipping,Bermuda,-,-,20.07,-3.79%,40387
2934,2935,GMO,"General Moly, Inc.",Basic Materials,Industrial Metals & Minerals,USA,26.58M,-,0.19,-7.44%,340402
2935,2936,GMOM,Cambria Global Momentum ETF,Financial,Exchange Traded Fund,USA,-,-,24.71,-0.66%,25858
2936,2937,GMRE,Global Medical REIT Inc.,Conglomerates,Conglomerates,USA,661.93M,40.05,15.02,4.38%,707881
2937,2938,GMS,GMS Inc.,Industrial Goods,General Building Materials,USA,957.08M,12.85,23.04,-4.36%,929340
2938,2939,GMTA,GATX Corporation SR NT 2066,Financial,Exchange Traded Fund,USA,-,-,26.23,0.10%,19878
2939,2940,GMZ,Goldman Sachs MLP Income Opportunities Fund,Financial,Closed-End Fund - Equity,USA,185.28M,-,4.16,-5.45%,961958
2940,2941,GNAF,MicroSectors FANG+ Index Inverse ETN,Financial,Exchange Traded Fund,USA,-,-,36.05,2.77%,2551
2941,2942,GNC,"GNC Holdings, Inc.",Services,Drug Stores,USA,128.71M,2.79,1.55,-4.91%,1428050
2942,2943,GNCA,"Genocea Biosciences, Inc.",Healthcare,Biotechnology,USA,57.99M,-,2.05,5.67%,451578
2943,2944,GNE,Genie Energy Ltd.,Basic Materials,Independent Oil & Gas,USA,194.32M,12.84,6.97,-3.73%,52960
2944,2945,GNFT,Genfit SA,Healthcare,Biotechnology,France,626.74M,-,16.14,-3.35%,39131
2945,2946,GNK,Genco Shipping & Trading Limited,Services,Shipping,USA,266.42M,-,6.75,-4.39%,328213
2946,2947,GNL,"Global Net Lease, Inc.",Financial,REIT - Diversified,USA,1.78B,161.67,19.4,-2.22%,531718
2947,2948,GNMA,iShares GNMA Bond ETF,Financial,Exchange Traded Fund,USA,-,-,50.62,0.02%,68249
2948,2949,GNMK,"GenMark Diagnostics, Inc.",Healthcare,Medical Appliances & Equipment,USA,339.26M,-,5.63,23.19%,10036936
2949,2950,GNOM,Global X Genomics & Biotechnology ETF,Financial,Exchange Traded Fund,USA,-,-,14.98,-0.84%,3603
2950,2951,GNPX,"Genprex, Inc.",Healthcare,Biotechnology,USA,156.87M,-,4.19,-7.30%,2879630
2951,2952,GNR,SPDR S&P Global Natural Resources ETF,Financial,Exchange Traded Fund,USA,-,-,38.48,-2.98%,512920
2952,2953,GNRC,Generac Holdings Inc.,Industrial Goods,Diversified Machinery,USA,7.48B,29.08,116.51,-1.33%,957392
2953,2954,GNSS,Genasys Inc.,Technology,Scientific & Technical Instruments,USA,102.28M,43.52,3.09,0.00%,25863
2954,2955,GNT,"GAMCO Natural Resources, Gold & Income Trust",Financial,Asset Management,USA,113.46M,-,5.43,-0.91%,46595
2955,2956,GNTX,Gentex Corporation,Consumer Goods,Auto Parts,USA,6.83B,16.06,26.69,-3.30%,2254001
2956,2957,GNUS,"Genius Brands International, Inc.",Services,Music & Video Stores,USA,7.64M,-,0.29,6.23%,245604
2957,2958,GNW,"Genworth Financial, Inc.",Financial,Life Insurance,USA,2.34B,36.90,4.65,-3.13%,9357523
2958,2959,GO,Grocery Outlet Holding Corp.,Services,Grocery Stores,USA,2.78B,10986.67,32.96,0.76%,609063
2959,2960,GOAT,VanEck Vectors Morningstar Global Wide Moat ETF,Financial,Exchange Traded Fund,USA,-,-,28.9,-3.32%,2145
2960,2961,GOAU,U.S. Global GO GOLD and Precious Metal Miners ETF,Financial,Exchange Traded Fund,USA,-,-,16.5,1.48%,88470
2961,2962,GOEX,Global X Gold Explorers ETF,Financial,Exchange Traded Fund,USA,-,-,25.17,1.29%,7208
2962,2963,GOF,Guggenheim Strategic Opportunities Fund,Financial,Closed-End Fund - Debt,USA,733.13M,-,17.92,-0.50%,249976
2963,2964,GOGL,Golden Ocean Group Limited,Services,Shipping,Bermuda,520.87M,14.09,3.72,-9.05%,479895
2964,2965,GOGO,Gogo Inc.,Technology,Diversified Communication Services,USA,262.79M,-,2.81,-14.85%,6208899
2965,2966,GOL,Gol Linhas Aereas Inteligentes S.A.,Services,Regional Airlines,Brazil,1.29B,-,9.05,-17.20%,3663501
2966,2967,GOLD,Barrick Gold Corporation,Basic Materials,Gold,Channel Islands,39.89B,9.40,21.16,2.97%,27849370
2967,2968,GOLF,Acushnet Holdings Corp.,Services,Sporting Goods Stores,USA,1.97B,15.81,26.13,-3.15%,997626
2968,2969,GOOD,Gladstone Commercial Corporation,Financial,REIT - Diversified,USA,741.00M,-,19.65,-2.34%,333839
2969,2970,GOODM,Gladstone Commercial Corporation,Financial,REIT - Diversified,USA,735.70M,-,25.38,-1.15%,4390
2970,2971,GOODN,Gladstone Commercial Corporation,Financial,REIT - Diversified,USA,-,-,26.11,-2.09%,6527
2971,2972,GOOG,Alphabet Inc.,Technology,Internet Information Providers,USA,898.15B,26.83,1319.04,-4.87%,2553822
2972,2973,GOOGL,Alphabet Inc.,Technology,Internet Information Providers,USA,888.28B,26.73,1314.76,-4.84%,2707235
2973,2974,GOOS,Canada Goose Holdings Inc.,Consumer Goods,Textile - Apparel Clothing,Canada,1.49B,37.13,25.36,-5.48%,2665063
2974,2975,GORO,Gold Resource Corporation,Basic Materials,Gold,USA,352.60M,44.85,4.62,0.43%,847215
2975,2976,GOSS,"Gossamer Bio, Inc.",Healthcare,Biotechnology,USA,889.26M,-,13.56,-3.76%,408085
2976,2977,GOVT,iShares U.S. Treasury Bond ETF,Financial,Exchange Traded Fund,USA,-,-,27.51,0.73%,5440119
2977,2978,GPAQ,Gordon Pointe Acquisition Corp.,Conglomerates,Conglomerates,USA,118.82M,-,10.64,-0.09%,215
2978,2979,GPC,Genuine Parts Company,Services,Auto Parts Stores,USA,12.38B,20.21,85.65,-4.03%,1051174
