Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-03-17,1,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,23.68B,29.07,70.44,9.84%,3335031
AA,2020-03-17,2,Alcoa Corporation,Basic Materials,Aluminum,USA,1.59B,-,7.0,2.64%,7920583
AAAU,2020-03-17,3,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,15.25,1.40%,265905
AACG,2020-03-17,4,ATA Creativity Global,Services,Education & Training Services,China,27.56M,-,0.91,7.06%,20251
AADR,2020-03-17,5,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,38.68,2.05%,51307
AAL,2020-03-17,6,American Airlines Group Inc.,Services,Major Airlines,USA,8.02B,4.09,15.58,-2.14%,57891831
AAMC,2020-03-17,7,Altisource Asset Management Corporation,Financial,Asset Management,USA,28.68M,-,15.5,10.12%,8591
AAME,2020-03-17,8,Atlantic American Corporation,Financial,Life Insurance,USA,46.18M,-,2.2,-9.09%,6096
AAN,2020-03-17,9,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,1.58B,52.67,21.86,-9.67%,2511780
AAOI,2020-03-17,10,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,149.42M,-,5.96,5.67%,1246232
AAON,2020-03-17,11,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.67B,46.95,47.89,-6.63%,983753
AAP,2020-03-17,12,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,7.99B,14.67,100.25,5.25%,1469517
AAPL,2020-03-17,13,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1227.62B,19.97,252.86,4.40%,80540752
AAT,2020-03-17,14,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.71B,28.84,24.37,-0.85%,530699
AAU,2020-03-17,15,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,31.54M,-,0.27,7.73%,619670
AAWW,2020-03-17,16,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,673.51M,-,23.69,26.62%,2583007
AAXJ,2020-03-17,17,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,58.56,5.68%,1878518
AAXN,2020-03-17,18,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,3.63B,4396.15,57.15,5.99%,987024
AB,2020-03-17,19,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.18B,7.56,18.81,-5.81%,1619466
ABB,2020-03-17,20,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,39.85B,34.61,16.23,4.91%,2635457
ABBV,2020-03-17,21,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,116.80B,13.83,73.02,-1.68%,22394202
ABC,2020-03-17,22,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,19.45B,29.04,89.5,11.18%,2952919
ABCB,2020-03-17,23,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.80B,8.55,24.33,11.45%,840923
ABEO,2020-03-17,24,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,215.44M,-,2.04,40.69%,3292066
ABEQ,2020-03-17,25,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,20.08,3.91%,6370
ABEV,2020-03-17,26,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,36.18B,13.07,2.3,9.00%,75990164
ABG,2020-03-17,27,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.14B,5.03,48.11,3.71%,482319
ABIO,2020-03-17,28,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,4.23M,-,2.5,2.04%,10179
