Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-06-25,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,26.79B,40.05,87.26,0.81%,1350129,24.47,4.28,5.12,5.66,20.23,59.13,26.10%,15.03%,37.50%,9.35%,5.00%,309.00M,307.66M,0.50%,-6.45%,89.80%,1.15%,1.67%,2.46,2.09M,-1.08%,1.25%,18.37%,2.30%,20.96%,2.29%,2.23%,2.32%,2.20,0.65,0.83%,7.40%,14.30%,15.20%,1.60,1.20,0.38,0.52,53.70%,15.10%,13.00%,May 21/a,1.12,2.19,-1.49%,5.33%,9.18%,-6.21%,42.74%,53.69,0.96%,-0.15%
AA,2020-06-25,Alcoa Corporation,Basic Materials,Aluminum,USA,2.23B,-,11.83,6.19%,6417256,-,-,0.22,0.51,2.69,82.67,-559.70%,86.60%,-34.10%,-,-4.50%,186.00M,185.07M,0.60%,0.05%,78.50%,-11.32%,6.38%,1.21,9.74M,1.55%,21.21%,72.95%,-45.18%,-49.03%,-45.00%,6.72%,7.59%,2.70,0.66,-,-5.80%,-19.00%,-9.60%,1.50,0.80,0.42,0.42,17.00%,-2.00%,-8.40%,Apr 22/a,2.30,0.86,5.12%,29.53%,-21.59%,-51.97%,129.26%,58.25,8.04%,-1.71%
AAL,2020-06-25,American Airlines Group Inc.,Industrials,Airlines,USA,5.74B,-,13.17,1.00%,116736358,-,-,0.13,-,1.61,-,25.20%,90.00%,-0.70%,-3.32%,1.40%,425.71M,416.38M,1.40%,0.89%,71.30%,-16.33%,30.50%,1.32,95.89M,-20.13%,9.93%,-15.90%,-54.87%,-58.14%,-54.08%,7.32%,10.84%,3.30,1.22,3.04%,-1.20%,113.10%,10.30%,0.40,0.30,-,-,60.30%,0.30%,-1.70%,Apr 30/b,1.79,1.6,-13.11%,7.09%,-39.77%,-62.36%,59.64%,45.2,5.11%,-3.91%
AAN,2020-06-25,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.06B,-,44.12,3.16%,528431,11.01,-,0.76,2.04,5.55,11.02,-83.50%,23.95%,-15.70%,10.10%,7.90%,66.82M,66.71M,1.10%,0.00%,-,-1.62%,6.07%,4.01,1.01M,1.71%,14.96%,86.24%,-24.14%,-27.86%,-22.75%,5.64%,6.22%,1.90,0.52,0.36%,-9.50%,-17.70%,2.10%,-,-,0.45,0.45,96.80%,-9.30%,-7.50%,May 07/b,1.62,2.66,2.98%,25.40%,-9.55%,-43.90%,239.25%,58.22,4.62%,-1.40%
AAOI,2020-06-25,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,192.76M,-,9.38,0.43%,354015,-,-,1.08,0.74,-,-,-12.80%,84.50%,-68.80%,13.00%,7.90%,20.21M,19.12M,8.00%,-1.81%,60.30%,-0.86%,29.01%,7.94,698.89K,-5.25%,3.65%,34.77%,-15.65%,-1.16%,-21.04%,4.82%,5.56%,3.20,0.51,-,-15.20%,-25.30%,-15.60%,1.90,1.00,0.36,0.54,22.50%,-30.60%,-40.50%,May 07/a,1.97,0.51,-0.86%,0.17%,-8.21%,-41.30%,87.60%,48.85,0.64%,-0.21%
AAON,2020-06-25,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.76B,43.34,53.09,0.61%,213092,38.19,3.61,5.60,9.03,-,44.55,27.00%,-4.20%,5.10%,12.00%,5.70%,52.07M,40.58M,19.60%,-1.85%,71.20%,-3.61%,8.01%,13.15,247.25K,-0.54%,-3.44%,9.67%,6.61%,9.51%,7.45%,2.82%,3.49%,3.30,0.86,0.72%,17.70%,22.70%,18.10%,3.10,1.90,0.02,0.02,27.70%,16.30%,13.10%,May 07/b,0.73,1.95,-2.54%,4.65%,5.72%,-11.52%,31.15%,49.57,1.16%,-0.55%
AAP,2020-06-25,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.07B,26.05,142.91,-0.06%,919068,17.02,3.52,1.06,2.80,7.87,28.65,21.10%,31.28%,0.40%,7.40%,-0.30%,69.18M,68.85M,0.40%,2.35%,-,-1.29%,2.84%,1.85,1.06M,-3.25%,0.85%,47.15%,-11.00%,-4.68%,-10.77%,3.70%,3.47%,2.30,0.87,0.70%,3.40%,10.90%,12.30%,1.40,0.40,0.35,0.49,43.70%,5.80%,4.10%,May 19/b,1.33,5.43,0.15%,9.10%,1.72%,-16.64%,100.35%,53.45,0.75%,-0.80%
AAPL,2020-06-25,Apple Inc.,Technology,Consumer Electronics,USA,1590.43B,28.60,364.84,1.33%,34089473,24.55,2.49,5.93,20.28,16.91,30.23,-2.60%,19.92%,13.00%,11.48%,7.30%,4.36B,4.33B,0.10%,-2.18%,62.00%,-0.62%,0.79%,0.89,38.39M,3.73%,14.69%,41.17%,28.34%,82.60%,24.24%,2.68%,2.47%,2.00,0.89,0.90%,17.30%,64.50%,26.90%,1.50,1.50,1.14,1.40,38.10%,24.50%,21.40%,Apr 30/a,1.18,8.6,7.32%,15.90%,30.08%,-2.02%,89.45%,71.86,1.15%,0.17%
AAT,2020-06-25,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.76B,36.38,27.94,2.34%,402074,39.91,12.13,4.67,1.27,17.77,-,101.50%,20.69%,18.40%,3.00%,7.10%,59.73M,59.38M,0.50%,52.01%,99.40%,-0.83%,0.75%,1.0,446.22K,-6.02%,-0.53%,14.37%,-37.54%,-38.84%,-39.13%,4.93%,5.05%,2.70,0.9,2.86%,1.50%,3.30%,4.30%,-,-,1.03,1.03,64.10%,28.00%,10.50%,Apr 28/a,1.00,1.62,-5.41%,0.99%,-28.46%,-43.28%,38.66%,45.88,3.25%,-0.88%
AAU,2020-06-25,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,58.69M,-,0.49,-1.79%,77923,-,-,-,1.07,32.61,-,-3.20%,-,31.70%,-,-,112.03M,111.70M,7.20%,0.00%,5.90%,47.07%,1.05%,3.0,391.49K,0.26%,0.53%,75.05%,-10.57%,-22.61%,-16.37%,6.31%,6.92%,-,0.2,-,-4.50%,-4.80%,-,3.90,3.90,0.04,0.04,-,-,-,Apr 09/a,1.07,0.04,0.09%,9.75%,0.50%,-39.93%,132.25%,50.83,-1.42%,-0.38%
