Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-07-10,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,27.43B,41.04,89.42,-0.56%,926167,25.07,4.39,5.24,5.80,20.72,60.56,26.10%,14.99%,37.50%,9.35%,5.00%,309.00M,307.66M,0.50%,-6.16%,89.80%,1.18%,1.43%,2.25,1.95M,0.83%,-0.43%,14.16%,2.46%,24.64%,4.82%,1.65%,2.22%,2.40,0.47,0.81%,7.40%,14.30%,15.20%,1.60,1.20,0.38,0.52,53.70%,15.10%,13.00%,May 21/a,1.12,1.83,1.71%,4.91%,11.11%,-3.89%,46.28%,59.52,-0.48%,-0.08%
AA,2020-07-10,Alcoa Corporation,Basic Materials,Aluminum,USA,2.12B,-,11.41,8.46%,7848930,-,-,0.21,0.50,2.55,78.42,-559.70%,88.30%,-34.10%,-,-4.50%,186.00M,185.07M,0.60%,0.05%,78.50%,-11.46%,6.20%,1.22,9.42M,4.01%,-6.24%,53.98%,-42.40%,-49.29%,-46.95%,7.26%,6.89%,2.70,0.83,-,-5.80%,-19.00%,-9.60%,1.50,0.80,0.42,0.42,17.00%,-2.00%,-8.40%,Jul 15/a,2.28,0.86,0.98%,15.46%,-21.56%,-53.67%,121.12%,55.25,8.77%,-0.29%
AAL,2020-07-10,American Airlines Group Inc.,Industrials,Airlines,USA,6.22B,-,11.94,6.80%,89951656,-,-,0.14,-,1.74,-,25.20%,90.50%,-0.70%,-9.44%,1.40%,425.71M,417.74M,1.10%,0.95%,59.40%,-16.39%,30.94%,1.31,98.56M,-4.48%,-29.85%,-4.56%,-57.28%,-63.85%,-58.37%,6.54%,8.32%,3.30,0.91,3.35%,-1.20%,113.10%,10.30%,0.40,0.30,-,-,60.30%,0.30%,-1.70%,Apr 30/b,1.73,1.52,-15.14%,-5.38%,-43.29%,-65.88%,44.73%,43.75,8.55%,-1.61%
AAN,2020-07-10,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.02B,-,44.1,0.66%,367704,10.97,-,0.75,2.04,5.48,10.86,-83.50%,24.22%,-15.70%,10.10%,7.90%,66.82M,66.69M,1.30%,0.00%,-,-1.54%,4.15%,3.06,905.95K,-1.41%,-3.35%,74.72%,-23.83%,-28.83%,-22.78%,3.41%,5.18%,1.90,0.41,0.36%,-9.50%,-17.70%,2.10%,-,-,0.45,0.45,96.80%,-9.30%,-7.50%,May 07/b,1.62,2.4,-0.01%,12.58%,-7.99%,-43.93%,239.10%,54.53,0.43%,0.23%
AAOI,2020-07-10,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,221.11M,-,11.51,-4.08%,882886,-,-,1.24,0.90,-,-,-12.80%,84.50%,-68.80%,13.00%,7.90%,20.21M,19.04M,8.00%,-3.36%,60.20%,-1.02%,28.42%,7.34,737.30K,6.67%,22.58%,48.32%,-11.87%,16.26%,-3.11%,7.16%,7.06%,3.20,1.2,-,-15.20%,-25.30%,-15.60%,1.90,1.00,0.36,0.54,22.50%,-30.60%,-40.50%,May 07/a,1.98,0.72,14.75%,18.43%,12.98%,-27.97%,130.20%,61.58,-4.08%,0.00%
AAON,2020-07-10,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.76B,44.23,54.18,1.38%,115322,38.98,3.69,5.61,9.21,-,44.58,27.00%,-4.20%,5.10%,12.00%,5.70%,52.07M,40.58M,19.60%,-1.88%,71.30%,-3.67%,8.21%,13.93,239.08K,0.84%,-3.85%,13.09%,6.55%,8.69%,9.65%,3.68%,3.74%,3.30,0.48,0.70%,17.70%,22.70%,18.10%,3.10,1.90,0.02,0.02,27.70%,16.30%,13.10%,May 07/b,0.74,2.02,1.56%,4.05%,7.47%,-9.70%,33.84%,54.06,1.33%,0.06%
AAP,2020-07-10,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.30B,24.50,134.45,0.52%,614914,15.89,3.31,0.98,2.63,7.26,26.46,21.10%,30.16%,0.40%,7.40%,-0.30%,69.18M,68.85M,0.40%,2.40%,-,-1.27%,2.81%,2.0,968.81K,-5.21%,-4.22%,25.82%,-12.05%,-13.97%,-16.05%,2.96%,3.67%,2.30,0.63,0.74%,3.40%,10.90%,12.30%,1.40,0.40,0.35,0.49,43.70%,5.80%,4.10%,May 19/b,1.31,4.7,-5.08%,-0.93%,-3.74%,-21.57%,88.49%,43.1,0.86%,-0.33%
AAPL,2020-07-10,Apple Inc.,Technology,Consumer Electronics,USA,1663.00B,30.08,383.68,0.25%,22454193,25.84,2.63,6.21,21.33,17.68,31.61,-2.60%,19.69%,13.00%,11.46%,7.30%,4.36B,4.33B,0.07%,-3.29%,62.00%,-0.61%,0.80%,0.98,35.51M,5.37%,8.74%,43.17%,23.92%,90.18%,30.66%,1.55%,2.37%,2.00,0.63,0.85%,17.30%,64.50%,26.90%,1.50,1.50,1.14,1.40,38.10%,24.50%,21.40%,Jul 30/a,1.19,8.43,6.69%,15.37%,33.28%,-0.41%,99.23%,73.24,0.43%,-0.18%
AAT,2020-07-10,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.63B,33.51,27.18,2.84%,309717,38.83,11.17,4.32,1.24,31.20,-,101.50%,20.69%,10.50%,3.00%,7.10%,59.72M,59.38M,0.40%,80.82%,99.40%,-0.88%,0.96%,1.35,422.09K,-3.24%,-12.01%,-8.14%,-40.13%,-42.91%,-40.78%,3.90%,4.32%,2.80,0.73,2.94%,1.70%,3.60%,4.30%,-,-,1.00,1.00,64.10%,30.10%,12.30%,Apr 28/a,0.99,1.39,-3.93%,-2.45%,-28.62%,-44.82%,34.89%,46.95,2.68%,0.15%
AAU,2020-07-10,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,58.04M,-,0.52,2.95%,305728,-,-,-,1.13,32.24,-,-3.20%,-,31.70%,-,-,112.03M,111.65M,7.20%,0.00%,5.90%,51.83%,1.07%,3.14,379.57K,4.95%,-7.96%,60.79%,-1.98%,-19.61%,-11.80%,6.06%,6.52%,-,0.81,-,-4.50%,-4.80%,-,3.90,3.90,0.04,0.04,-,-,-,Apr 09/a,1.10,0.03,4.73%,10.32%,8.45%,-36.65%,144.93%,57.36,3.90%,-0.91%
