,Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
0,A,2020-06-04,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,28.25B,41.83,91.14,0.72%,2215171,25.64,4.47,5.40,5.83,23.05,42.81,26.10%,14.68%,37.50%,9.35%,5.00%,310.00M,308.52M,0.50%,-10.51%,89.50%,1.14%,2.01%,2.45,2.53M,5.13%,19.34%,13.27%,13.78%,33.34%,6.83%,1.90%,2.40%,2.20,0.88,0.79%,11.70%,22.00%,15.20%,1.60,1.30,0.37,0.51,53.70%,18.00%,20.50%,May 21/a,1.13,2.19,9.05%,16.51%,15.88%,0.00%,49.09%,75.15,1.47%,-0.74%
1,AA,2020-06-04,Alcoa Corporation,Basic Materials,Aluminum,USA,2.23B,-,11.64,8.08%,11372376,-,-,0.22,0.51,2.69,82.50,-559.70%,80.80%,-34.10%,-,-4.50%,186.00M,185.07M,0.60%,0.03%,78.30%,-11.22%,5.97%,1.13,9.80M,22.78%,49.04%,-2.10%,-41.18%,-45.53%,-45.89%,6.70%,7.15%,2.60,1.16,-,-5.80%,-19.00%,-9.60%,1.50,0.80,0.42,0.42,17.00%,-2.00%,-8.40%,Apr 22/a,2.27,0.7,39.78%,52.26%,-25.23%,-52.74%,125.58%,77.06,7.28%,0.74%
2,AAL,2020-06-04,American Airlines Group Inc.,Industrials,Airlines,USA,7.39B,-,16.72,41.10%,395265957,-,-,0.17,-,2.07,-,25.20%,99.70%,-0.70%,-3.32%,1.40%,425.71M,417.74M,1.30%,0.95%,71.40%,-16.10%,35.34%,2.08,70.99M,52.28%,75.81%,4.24%,-38.73%,-44.93%,-41.70%,13.74%,8.66%,3.30,5.57,2.39%,-1.20%,113.10%,10.30%,0.40,0.30,-,-,60.30%,0.30%,-1.70%,Apr 30/b,1.73,1.29,64.14%,52.53%,-26.03%,-52.21%,102.67%,76.68,30.12%,8.44%
3,AAN,2020-06-04,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.92B,-,43.65,9.98%,1593188,12.00,-,0.72,2.02,5.29,10.50,-83.50%,35.76%,-15.70%,9.90%,7.90%,66.82M,66.69M,1.10%,0.00%,-,-1.54%,6.59%,3.76,1.17M,20.45%,48.47%,21.66%,-22.87%,-20.59%,-23.57%,5.70%,6.58%,1.90,1.36,0.37%,-9.50%,-17.70%,2.10%,-,-,0.45,0.45,96.80%,-9.30%,-7.50%,May 07/b,1.57,2.53,26.74%,52.59%,-13.00%,-44.50%,235.64%,74.08,8.66%,1.21%
4,AAOI,2020-06-04,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,201.11M,-,9.81,2.83%,645013,-,-,1.13,0.77,-,-,-3.50%,92.10%,-68.80%,13.00%,7.90%,20.21M,18.87M,6.60%,-2.97%,60.40%,-0.82%,34.81%,8.57,766.37K,10.22%,-5.13%,8.52%,-5.22%,6.28%,-17.42%,4.61%,5.69%,3.10,0.84,-,-15.20%,-25.30%,-15.60%,1.90,1.00,0.36,0.54,22.50%,-30.60%,-40.50%,May 07/a,1.98,0.6,6.83%,11.61%,-3.83%,-38.61%,96.20%,59.31,3.81%,-0.94%
5,AAON,2020-06-04,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.92B,45.76,56.05,1.21%,157463,40.32,3.81,5.92,9.53,-,47.08,27.00%,-4.20%,5.10%,12.00%,5.70%,52.07M,40.58M,19.70%,-0.87%,71.20%,-3.69%,7.86%,9.94,320.77K,3.38%,21.50%,-4.37%,17.80%,16.58%,13.44%,3.23%,3.92%,3.30,0.49,0.68%,17.70%,22.70%,18.10%,3.10,1.90,0.02,0.02,27.70%,16.30%,13.10%,May 07/b,0.75,2.13,10.17%,15.51%,12.86%,-6.58%,38.46%,69.99,2.47%,-1.23%
6,AAP,2020-06-04,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.84B,25.92,142.2,-0.08%,495506,16.99,3.87,1.04,2.78,7.69,28.00,21.10%,30.90%,0.40%,6.70%,-0.30%,69.18M,68.86M,0.40%,0.00%,-,-1.40%,3.07%,1.81,1.17M,2.72%,17.34%,12.04%,-6.82%,-8.03%,-11.21%,2.28%,3.51%,2.30,0.42,0.70%,3.40%,10.90%,12.30%,1.40,0.40,0.35,0.49,43.70%,5.80%,4.10%,May 19/b,1.30,4.69,8.13%,21.61%,1.46%,-17.05%,99.36%,71.92,0.79%,-0.87%
7,AAPL,2020-06-04,Apple Inc.,Technology,Consumer Electronics,USA,1398.40B,25.27,322.32,-0.86%,21360483,21.76,2.20,5.22,17.92,14.87,26.58,-2.60%,19.86%,13.00%,11.47%,7.30%,4.36B,4.33B,0.10%,-2.19%,62.00%,-0.69%,0.78%,0.72,46.74M,1.28%,8.32%,10.04%,24.23%,76.58%,9.76%,1.45%,1.98%,2.00,0.46,1.02%,17.30%,64.50%,26.90%,1.50,1.50,1.14,1.40,38.10%,24.50%,21.40%,Apr 30/a,1.18,6.54,2.48%,11.93%,19.29%,-1.69%,84.69%,67.46,-0.64%,-0.22%
8,AAT,2020-06-04,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.94B,40.51,31.11,5.74%,542022,44.44,13.50,5.13,1.41,19.53,-,101.50%,20.69%,18.40%,3.00%,7.10%,59.73M,59.39M,0.70%,23.50%,99.30%,-0.95%,1.12%,1.47,451.99K,14.54%,14.84%,-26.37%,-33.91%,-32.94%,-32.22%,5.16%,5.19%,2.50,1.2,2.57%,1.50%,3.30%,4.30%,-,-,1.03,1.03,64.10%,28.00%,10.50%,Apr 28/a,1.00,1.53,18.58%,19.34%,-22.82%,-36.85%,54.39%,66.87,5.85%,-0.10%
9,AAU,2020-06-04,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,54.14M,-,0.47,3.34%,298704,-,-,-,1.04,30.08,-,-3.20%,-,31.70%,-,-,112.03M,111.70M,7.20%,0.00%,5.90%,49.49%,1.22%,3.39,401.79K,0.86%,8.34%,22.68%,-10.29%,1.27%,-20.20%,5.56%,7.61%,-,0.74,-,-4.50%,-4.80%,-,3.90,3.90,0.04,0.05,-,-,-,Apr 09/a,1.08,0.03,5.52%,20.55%,-7.36%,-42.68%,121.59%,57.56,0.49%,2.84%
