Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-06-15,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,26.51B,39.91,86.96,0.99%,1551282,24.47,4.27,5.06,5.64,20.03,58.53,26.10%,14.68%,37.50%,9.35%,5.00%,309.00M,307.66M,0.50%,-6.68%,89.80%,1.16%,1.67%,2.18,2.35M,-3.69%,6.52%,35.60%,2.54%,24.28%,1.93%,3.01%,2.39%,2.20,0.66,0.83%,7.40%,14.30%,15.20%,1.60,1.20,0.38,0.52,53.70%,15.10%,13.00%,May 21/a,1.13,2.4,0.24%,7.63%,9.68%,-6.53%,42.25%,53.79,3.03%,-1.99%
AA,2020-06-15,Alcoa Corporation,Basic Materials,Aluminum,USA,1.92B,-,11.41,-1.04%,6915920,-,-,0.19,0.50,2.31,71.00,-559.70%,84.30%,-34.10%,-,-4.50%,186.00M,185.07M,0.60%,0.04%,78.50%,-12.55%,6.38%,1.19,9.89M,-12.10%,67.55%,67.30%,-46.33%,-47.49%,-46.95%,7.08%,7.61%,2.60,0.7,-,-5.80%,-19.00%,-9.60%,1.50,0.80,0.42,0.42,17.00%,-2.00%,-8.40%,Apr 22/a,2.21,0.9,15.35%,36.02%,-25.73%,-53.67%,121.12%,60.53,5.45%,-6.16%
AAL,2020-06-15,American Airlines Group Inc.,Industrials,Airlines,USA,6.07B,-,16.7,-0.24%,121212844,-,-,0.14,-,1.70,-,25.20%,90.50%,-0.70%,-3.32%,1.40%,425.71M,416.46M,1.30%,1.16%,71.30%,-18.97%,30.49%,1.41,90.10M,-17.77%,82.51%,4.90%,-39.75%,-48.90%,-41.77%,11.51%,10.67%,3.40,1.35,2.40%,-1.20%,113.10%,10.30%,0.40,0.30,-,-,60.30%,0.30%,-1.70%,Apr 30/b,1.62,1.89,28.91%,44.90%,-25.17%,-52.27%,102.42%,60.28,9.01%,-8.48%
AAN,2020-06-15,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.86B,-,43.94,0.90%,889352,11.10,-,0.71,2.03,5.19,10.30,-83.50%,24.63%,-15.70%,10.10%,7.90%,66.82M,66.71M,1.10%,0.00%,-,-1.91%,6.07%,3.49,1.16M,-10.84%,36.97%,81.57%,-24.24%,-27.48%,-23.06%,7.89%,5.99%,1.90,0.77,0.36%,-9.50%,-17.70%,2.10%,-,-,0.45,0.45,96.80%,-9.30%,-7.50%,May 07/b,1.57,3.15,12.69%,38.05%,-11.30%,-44.13%,237.87%,62.54,6.70%,-5.44%
AAOI,2020-06-15,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,180.33M,-,9.03,2.50%,367410,-,-,1.01,0.71,-,-,-12.80%,84.50%,-68.80%,13.00%,7.90%,20.21M,19.12M,6.60%,-2.97%,60.30%,-0.94%,29.02%,7.49,741.10K,-11.82%,6.24%,60.11%,-19.95%,1.57%,-23.99%,7.03%,4.97%,3.20,0.5,-,-15.20%,-25.30%,-15.60%,1.90,1.00,0.36,0.54,22.50%,-30.60%,-40.50%,May 07/a,1.96,0.6,-0.15%,-0.54%,-11.54%,-43.49%,80.60%,48.69,5.49%,-2.84%
AAON,2020-06-15,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.74B,43.03,52.71,1.44%,193512,37.92,3.59,5.56,8.96,-,44.17,27.00%,-4.20%,5.10%,12.00%,5.70%,52.07M,40.58M,19.60%,-1.85%,71.20%,-3.62%,8.01%,11.12,292.54K,-8.84%,14.74%,2.77%,4.92%,9.49%,6.68%,4.87%,3.87%,3.30,0.66,0.72%,17.70%,22.70%,18.10%,3.10,1.90,0.02,0.02,27.70%,16.30%,13.10%,May 07/b,0.75,2.37,-1.88%,5.86%,5.47%,-12.15%,30.21%,50.64,4.65%,-3.06%
AAP,2020-06-15,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.34B,25.12,137.85,1.56%,1072721,16.44,3.40,0.99,2.70,7.30,26.59,21.10%,31.00%,0.40%,7.40%,-0.30%,69.18M,68.86M,0.40%,-0.30%,-,-1.38%,2.84%,1.79,1.10M,-5.81%,13.80%,44.72%,-11.70%,-9.19%,-13.93%,4.44%,3.62%,2.30,0.98,0.73%,3.40%,10.90%,12.30%,1.40,0.40,0.35,0.49,43.70%,5.80%,4.10%,May 19/b,1.32,5.41,-0.17%,11.42%,-1.77%,-19.59%,93.26%,54.41,5.10%,-3.37%
AAPL,2020-06-15,Apple Inc.,Technology,Consumer Electronics,USA,1473.91B,26.89,342.99,1.24%,34519609,23.07,2.34,5.50,19.07,15.67,28.01,-2.60%,20.04%,13.00%,11.48%,7.30%,4.36B,4.33B,0.10%,-2.21%,62.00%,-0.64%,0.79%,0.79,43.45M,2.86%,10.81%,41.61%,26.35%,77.95%,16.80%,3.85%,2.28%,2.00,0.79,0.96%,17.30%,64.50%,26.90%,1.50,1.50,1.14,1.40,38.10%,24.50%,21.40%,Apr 30/a,1.16,8.79,5.68%,14.27%,24.86%,-3.32%,80.24%,65.57,2.96%,-1.68%
AAT,2020-06-15,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.71B,39.21,30.11,0.53%,368307,43.01,13.07,4.51,1.37,17.18,-,101.50%,20.69%,18.40%,3.00%,7.10%,59.73M,59.39M,0.50%,41.46%,99.40%,-0.97%,0.75%,0.97,462.41K,-13.60%,22.50%,22.50%,-32.94%,-36.28%,-34.40%,5.82%,5.15%,2.70,0.8,2.66%,1.50%,3.30%,4.30%,-,-,1.03,1.03,64.10%,28.00%,10.50%,Apr 28/a,0.97,1.82,6.59%,10.98%,-24.31%,-38.88%,49.43%,54.96,5.72%,-4.91%
AAU,2020-06-15,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,54.52M,-,0.5,-4.00%,354718,-,-,-,1.09,30.29,-,-3.20%,-,31.70%,-,-,112.03M,111.70M,7.20%,0.00%,5.90%,53.64%,1.05%,2.85,412.31K,1.86%,21.73%,95.73%,-4.02%,-6.15%,-15.26%,9.17%,8.18%,-,0.86,-,-4.50%,-4.80%,-,3.90,3.90,0.04,0.04,-,-,-,Apr 09/a,1.06,0.04,5.10%,18.86%,0.08%,-39.13%,135.32%,55.14,-4.02%,0.02%
