Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-06-11,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,26.48B,39.02,85.03,-5.32%,2395690,23.93,4.17,5.06,5.51,20.00,58.45,26.10%,14.68%,37.50%,9.35%,5.00%,309.00M,307.66M,0.50%,-11.00%,89.80%,1.13%,2.01%,2.53,2.45M,-6.70%,6.49%,34.07%,2.53%,20.97%,-0.33%,2.36%,2.35%,2.20,0.98,0.85%,7.40%,14.30%,15.20%,1.60,1.20,0.38,0.52,53.70%,15.10%,13.00%,May 21/a,1.12,2.23,-1.45%,6.04%,7.47%,-8.61%,39.10%,48.15,-4.06%,-1.31%
AA,2020-06-11,Alcoa Corporation,Basic Materials,Aluminum,USA,1.94B,-,10.42,-14.38%,11882290,-,-,0.19,0.45,2.34,71.78,-559.70%,79.50%,-34.10%,-,-4.50%,186.00M,185.07M,0.60%,0.04%,78.50%,-11.49%,5.97%,1.12,9.89M,-10.48%,42.94%,38.75%,-49.54%,-50.78%,-51.56%,9.61%,7.81%,2.60,1.2,-,-5.80%,-19.00%,-9.60%,1.50,0.80,0.42,0.42,17.00%,-2.00%,-8.40%,Apr 22/a,2.29,0.89,9.88%,27.11%,-32.44%,-57.69%,101.94%,54.73,-3.96%,-10.85%
AAL,2020-06-11,American Airlines Group Inc.,Industrials,Airlines,USA,6.12B,-,14.38,-15.51%,122533920,-,-,0.14,-,1.71,-,25.20%,90.40%,-0.70%,-3.32%,1.40%,425.71M,417.74M,1.30%,0.99%,71.30%,-16.66%,35.34%,1.69,87.17M,-14.00%,49.02%,6.91%,-46.74%,-53.76%,-49.86%,13.55%,10.43%,3.30,1.41,2.78%,-1.20%,113.10%,10.30%,0.40,0.30,-,-,60.30%,0.30%,-1.70%,Apr 30/b,1.78,1.81,16.80%,26.58%,-35.83%,-58.90%,74.30%,54.0,-0.96%,-14.69%
AAN,2020-06-11,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.81B,-,41.98,-8.00%,838113,11.54,-,0.69,1.94,5.09,10.10,-83.50%,35.76%,-15.70%,9.90%,7.90%,66.82M,66.71M,1.10%,0.00%,-,-1.88%,6.59%,3.71,1.18M,-3.83%,27.60%,51.22%,-27.52%,-30.21%,-26.49%,7.13%,6.58%,1.90,0.71,0.38%,-9.50%,-17.70%,2.10%,-,-,0.45,0.45,96.80%,-9.30%,-7.50%,May 07/b,1.62,3.11,11.05%,35.56%,-15.61%,-46.62%,222.80%,58.45,-0.71%,-7.34%
AAOI,2020-06-11,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,172.91M,-,8.65,-7.88%,541974,-,-,0.97,0.68,-,-,-12.80%,84.50%,-68.80%,13.00%,7.90%,20.21M,19.12M,6.60%,-3.39%,60.40%,-0.77%,34.36%,8.68,756.41K,-11.82%,-6.79%,52.29%,-15.86%,-4.42%,-27.19%,5.40%,4.96%,3.20,0.72,-,-15.20%,-25.30%,-15.60%,1.90,1.00,0.36,0.54,22.50%,-30.60%,-40.50%,May 07/a,1.97,0.58,-4.22%,-4.19%,-15.27%,-45.87%,73.00%,44.31,-3.89%,-4.15%
AAON,2020-06-11,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.59B,42.36,51.89,-7.91%,411731,37.33,3.53,5.26,8.82,-,41.81,27.00%,-4.20%,5.10%,12.00%,5.70%,52.07M,40.58M,19.70%,-1.91%,71.20%,-3.77%,7.86%,10.11,315.60K,-7.42%,9.16%,25.73%,6.75%,8.53%,5.02%,3.76%,3.74%,3.30,1.3,0.73%,17.70%,22.70%,18.10%,3.10,1.90,0.02,0.02,27.70%,16.30%,13.10%,May 07/b,0.74,2.23,-2.37%,4.58%,3.95%,-13.52%,28.18%,47.04,-5.55%,-2.50%
AAP,2020-06-11,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.21B,24.26,133.13,-5.16%,927868,15.88,3.28,0.97,2.60,7.20,26.21,21.10%,31.00%,0.40%,7.40%,-0.30%,69.18M,68.86M,0.40%,-0.29%,-,-1.35%,3.07%,1.87,1.13M,-6.38%,6.93%,21.95%,-14.75%,-11.57%,-16.88%,3.35%,3.51%,2.30,0.82,0.75%,3.40%,10.90%,12.30%,1.40,0.40,0.35,0.49,43.70%,5.80%,4.10%,May 19/b,1.32,5.01,-2.58%,9.13%,-5.14%,-22.34%,86.64%,48.27,-2.62%,-2.61%
AAPL,2020-06-11,Apple Inc.,Technology,Consumer Electronics,USA,1464.56B,26.33,335.9,-4.80%,49600419,22.63,2.29,5.47,18.67,15.57,27.84,-2.60%,19.99%,13.00%,11.48%,7.30%,4.36B,4.33B,0.10%,-2.18%,62.00%,-0.63%,0.78%,0.75,44.52M,4.21%,7.86%,35.32%,25.11%,72.97%,14.39%,3.16%,2.23%,2.00,1.11,0.98%,17.30%,64.50%,26.90%,1.50,1.50,1.14,1.40,38.10%,24.50%,21.40%,Apr 30/a,1.17,8.11,4.42%,13.26%,22.87%,-5.32%,76.51%,61.78,-3.84%,-1.00%
AAT,2020-06-11,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.69B,36.78,28.25,-8.55%,484618,40.36,12.26,4.46,1.28,16.99,-,101.50%,20.69%,18.40%,3.00%,7.10%,59.73M,59.39M,0.70%,24.78%,99.40%,-0.92%,1.12%,1.44,459.58K,-9.19%,12.86%,-7.13%,-40.35%,-37.38%,-38.45%,5.29%,5.30%,2.70,1.05,2.83%,1.50%,3.30%,4.30%,-,-,1.03,1.03,64.10%,28.00%,10.50%,Apr 28/a,1.01,1.78,1.75%,4.95%,-29.29%,-42.65%,40.20%,48.55,-2.32%,-6.38%
AAU,2020-06-11,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,55.26M,-,0.48,-14.09%,749799,-,-,-,1.05,30.70,-,-3.20%,-,31.70%,-,-,112.03M,111.70M,7.20%,0.00%,5.90%,50.29%,1.22%,3.28,414.68K,3.17%,16.14%,67.26%,0.43%,0.91%,-17.67%,8.94%,8.19%,-,1.81,-,-4.50%,-4.80%,-,3.90,3.90,0.04,0.04,-,-,-,Apr 09/a,1.06,0.04,4.22%,18.04%,-3.24%,-40.87%,128.62%,53.71,-11.84%,-2.55%
AAWW,2020-06-11,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.06B,-,39.13,-4.44%,587349,6.24,-,0.39,0.55,4.71,5.13,-218.60%,-20.77%,-36.10%,10.00%,8.80%,25.97M,25.52M,2.10%,-6.88%,99.50%,-0.79%,12.32%,3.83,820.81K,-14.34%,5.59%,138.38%,48.78%,-3.57%,41.93%,7.25%,6.21%,1.50,0.72,-,-4.20%,-12.10%,-5.00%,0.70,0.70,1.17,1.33,53.30%,-12.00%,-8.90%,May 07/b,1.70,2.55,-2.87%,17.12%,43.71%,-17.97%,161.39%,51.58,-0.69%,-3.79%
