Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-03-31,1,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,23.06B,29.56,71.62,-1.44%,1813330
AA,2020-03-31,2,Alcoa Corporation,Basic Materials,Aluminum,USA,1.20B,-,6.16,1.48%,12472013
AAAU,2020-03-31,3,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,15.72,-3.20%,193659
AACG,2020-03-31,4,ATA Creativity Global,Services,Education & Training Services,China,27.83M,-,0.95,-0.47%,8266
AADR,2020-03-31,5,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,40.34,-0.91%,4473
AAL,2020-03-31,6,American Airlines Group Inc.,Services,Major Airlines,USA,5.79B,3.20,12.19,-0.49%,44599505
AAMC,2020-03-31,7,Altisource Asset Management Corporation,Financial,Asset Management,USA,22.22M,-,13.8,12.33%,6036
AAME,2020-03-31,8,Atlantic American Corporation,Financial,Life Insurance,USA,43.80M,-,2.11,-0.94%,257
AAN,2020-03-31,9,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,1.52B,54.89,22.78,1.02%,1551509
AAOI,2020-03-31,10,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,142.84M,-,7.59,-0.13%,463227
AAON,2020-03-31,11,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.63B,47.37,48.32,0.12%,387927
AAP,2020-03-31,12,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,6.56B,13.65,93.32,-3.30%,1151824
AAPL,2020-03-31,13,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1160.70B,20.08,254.29,-0.20%,49039414
AAT,2020-03-31,14,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.49B,29.59,25.0,1.34%,607323
AAU,2020-03-31,15,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,31.69M,-,0.28,1.29%,215953
AAWW,2020-03-31,16,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,727.49M,-,25.67,15.68%,793522
AAXJ,2020-03-31,17,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,59.72,0.49%,1123530
AAXN,2020-03-31,18,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,4.33B,5443.85,70.77,1.89%,1269432
AB,2020-03-31,19,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,1.93B,7.47,18.59,-1.12%,282434
ABB,2020-03-31,20,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,39.17B,36.80,17.26,-0.52%,4238461
ABBV,2020-03-31,21,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,114.30B,14.43,76.19,1.26%,20387783
ABC,2020-03-31,22,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,18.75B,28.72,88.5,0.45%,2064021
ABCB,2020-03-31,23,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.68B,8.35,23.76,1.76%,541809
ABEO,2020-03-31,24,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,179.00M,-,2.1,2.94%,849313
ABEQ,2020-03-31,25,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,20.21,-1.29%,117966
ABEV,2020-03-31,26,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,36.18B,13.07,2.3,-7.26%,28246901
ABG,2020-03-31,27,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.17B,5.77,55.23,-0.09%,160084
ABIO,2020-03-31,28,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,4.55M,-,2.79,4.14%,9379
ABM,2020-03-31,29,ABM Industries Incorporated,Services,Business Services,USA,1.63B,11.44,24.36,0.79%,842010
ABMD,2020-03-31,30,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,6.72B,27.23,145.16,-2.57%,633105
ABR,2020-03-31,31,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,515.63M,3.87,4.9,-11.55%,3929590
ABT,2020-03-31,32,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,141.49B,39.05,78.91,-0.54%,23619000
ABTX,2020-03-31,33,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,528.97M,9.75,24.11,-0.54%,109137
ABUS,2020-03-31,34,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,130.05M,-,1.01,-9.82%,1450497
AC,2020-03-31,35,"Associated Capital Group, Inc.",Financial,Asset Management,USA,705.33M,17.61,30.6,-0.84%,20613
ACA,2020-03-31,36,"Arcosa, Inc.",Industrial Goods,Farm & Construction Machinery,USA,2.06B,17.14,39.74,2.79%,517377
ACAD,2020-03-31,37,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,6.68B,-,42.25,2.25%,2240321
ACAM,2020-03-31,38,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,372.82M,-,9.85,-0.61%,7482
ACAMU,2020-03-31,39,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,-,-,9.9,0.00%,0
ACB,2020-03-31,40,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,1.06B,4.19,0.91,2.07%,31350446
ACBI,2020-03-31,41,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,262.80M,9.86,11.87,-2.30%,123732
ACC,2020-03-31,42,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,3.81B,46.17,27.75,-5.64%,2873510
ACCO,2020-03-31,43,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,484.30M,4.72,5.05,1.00%,1124833
ACEL,2020-03-31,44,TPG Pace Holdings Corp.,Services,Gaming Activities,USA,605.33M,-,7.5,4.17%,176617
