Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price,Change,Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
A,2020-06-05,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,28.02B,41.48,90.38,-0.83%,2828331,28.02B,41.48,25.43,4.44,5.35,5.78,22.85,42.45,26.10%,14.68%,37.50%,9.35%,5.00%,90.38,-0.83%,2828331,28.02B,310.00M,308.52M,0.50%,-10.51%,89.50%,1.14%,2.01%,2.44,2.53M,90.38,-0.83%,2828331,2.54%,16.07%,15.05%,11.68%,30.68%,5.94%,2.08%,2.42%,2.20,2.53M,1.12,90.38,-0.83%,2828331,28.02B,0.80%,11.70%,22.00%,15.20%,1.60,1.30,0.37,0.51,53.70%,18.00%,20.50%,May 21/a,90.38,-0.83%,2828331,1.13,2.28,7.29%,14.83%,14.78%,-1.48%,47.85%,71.57,90.38,-0.83%,-1.90%,1.09%,2828331
AA,2020-06-05,Alcoa Corporation,Basic Materials,Aluminum,USA,2.31B,-,12.07,3.69%,18633221,2.31B,-,-,-,0.23,0.53,2.79,85.55,-559.70%,80.80%,-34.10%,-,-4.50%,12.07,3.69%,18633221,2.31B,186.00M,185.07M,0.60%,0.03%,78.30%,-11.22%,5.97%,1.12,9.86M,12.07,3.69%,18633221,31.05%,56.55%,9.63%,-38.92%,-44.04%,-43.89%,9.54%,7.87%,2.60,9.86M,1.89,12.07,3.69%,18633221,2.31B,-,-5.80%,-19.00%,-9.60%,1.50,0.80,0.42,0.42,17.00%,-2.00%,-8.40%,Apr 22/a,12.07,3.69%,18633221,2.27,0.81,41.60%,56.10%,-22.30%,-50.99%,133.91%,78.36,12.07,3.69%,-8.14%,12.89%,18633221
AAL,2020-06-05,American Airlines Group Inc.,Industrials,Airlines,USA,8.22B,-,18.59,11.18%,424645356,8.22B,-,-,-,0.19,-,2.30,-,25.20%,99.70%,-0.70%,-3.32%,1.40%,18.59,11.18%,424645356,8.22B,425.71M,417.74M,1.30%,0.95%,71.40%,-16.10%,35.34%,1.93,76.54M,18.59,11.18%,424645356,77.05%,100.97%,16.41%,-32.10%,-38.81%,-35.18%,18.29%,9.66%,3.30,76.54M,5.55,18.59,11.18%,424645356,8.22B,2.15%,-1.20%,113.10%,10.30%,0.40,0.30,-,-,60.30%,0.30%,-1.70%,Apr 30/b,18.59,11.18%,424645356,1.73,1.64,76.04%,68.73%,-17.59%,-46.87%,125.33%,79.74,18.59,11.18%,-12.48%,27.03%,424645356
AAN,2020-06-05,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.05B,-,45.57,4.40%,1278986,3.05B,-,12.53,-,0.75,2.10,5.53,10.96,-83.50%,35.76%,-15.70%,9.90%,7.90%,45.57,4.40%,1278986,3.05B,66.82M,66.69M,1.10%,0.00%,-,-1.54%,6.59%,3.73,1.18M,45.57,4.40%,1278986,23.46%,58.23%,31.06%,-21.00%,-16.72%,-20.21%,6.15%,6.78%,1.90,1.18M,1.09,45.57,4.40%,1278986,3.05B,0.35%,-9.50%,-17.70%,2.10%,-,-,0.45,0.45,96.80%,-9.30%,-7.50%,May 07/b,45.57,4.40%,1278986,1.57,2.77,29.53%,56.80%,-8.99%,-42.06%,250.40%,76.15,45.57,4.40%,-0.59%,5.02%,1278986
AAOI,2020-06-05,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,204.59M,-,9.98,1.73%,1014125,204.59M,-,-,-,1.15,0.78,-,-,-3.50%,92.10%,-68.80%,13.00%,7.90%,9.98,1.73%,1014125,204.59M,20.21M,18.87M,6.60%,-2.97%,60.40%,-0.82%,34.81%,8.55,768.02K,9.98,1.73%,1014125,13.02%,-7.42%,13.54%,-3.95%,7.31%,-15.99%,4.84%,5.61%,3.10,768.02K,1.32,9.98,1.73%,1014125,204.59M,-,-15.20%,-25.30%,-15.60%,1.90,1.00,0.36,0.54,22.50%,-30.60%,-40.50%,May 07/a,9.98,1.73%,1014125,1.98,0.59,9.26%,13.00%,-2.18%,-37.55%,99.60%,61.1,9.98,1.73%,-0.20%,1.94%,1014125
AAON,2020-06-05,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.04B,47.65,58.37,4.14%,287590,3.04B,47.65,41.99,3.97,6.17,9.93,-,49.03,27.00%,-4.20%,5.10%,12.00%,5.70%,58.37,4.14%,287590,3.04B,52.07M,40.58M,19.70%,-1.17%,71.20%,-3.69%,7.86%,9.97,320.00K,58.37,4.14%,287590,7.75%,24.40%,-1.02%,20.67%,21.15%,18.13%,3.37%,3.96%,3.30,320.00K,0.9,58.37,4.14%,287590,3.04B,0.65%,17.70%,22.70%,18.10%,3.10,1.90,0.02,0.02,27.70%,16.30%,13.10%,May 07/b,58.37,4.14%,287590,0.75,2.19,13.71%,19.77%,17.43%,-2.72%,44.19%,75.64,58.37,4.14%,2.28%,1.82%,287590
AAP,2020-06-05,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.11B,26.63,146.1,2.74%,927758,10.11B,26.63,17.45,3.97,1.07,2.86,7.90,28.76,21.10%,30.90%,0.40%,6.70%,-0.30%,146.1,2.74%,927758,10.11B,69.18M,68.86M,0.40%,0.00%,-,-1.40%,3.07%,1.82,1.16M,146.1,2.74%,927758,4.87%,20.58%,14.22%,-4.09%,-5.68%,-8.78%,2.29%,3.53%,2.30,1.16M,0.8,146.1,2.74%,927758,10.11B,0.68%,3.40%,10.90%,12.30%,1.40,0.40,0.35,0.49,43.70%,5.80%,4.10%,May 19/b,146.1,2.74%,927758,1.30,4.85,10.22%,23.76%,4.23%,-14.78%,104.83%,74.8,146.1,2.74%,0.71%,2.02%,927758
AAPL,2020-06-05,Apple Inc.,Technology,Consumer Electronics,USA,1438.23B,25.99,331.5,2.85%,33650894,1438.23B,25.99,22.38,2.27,5.37,18.43,15.29,27.34,-2.60%,19.86%,13.00%,11.47%,7.30%,331.5,2.85%,33650894,1438.23B,4.36B,4.33B,0.10%,-2.19%,62.00%,-0.69%,0.78%,0.73,46.23M,331.5,2.85%,33650894,4.26%,10.27%,14.69%,26.65%,78.98%,12.89%,1.68%,2.04%,2.00,46.23M,0.73,331.5,2.85%,33650894,1438.23B,0.99%,17.30%,64.50%,26.90%,1.50,1.50,1.14,1.40,38.10%,24.50%,21.40%,Apr 30/a,331.5,2.85%,33650894,1.18,6.84,5.04%,14.52%,22.43%,1.11%,83.01%,73.92,331.5,2.85%,2.53%,0.31%,33650894
AAT,2020-06-05,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,2.05B,42.75,32.83,5.53%,460706,2.05B,42.75,46.90,14.25,5.41,1.49,20.61,-,101.50%,20.69%,18.40%,3.00%,7.10%,32.83,5.53%,460706,2.05B,59.73M,59.39M,0.70%,23.50%,99.30%,-0.95%,1.12%,1.46,453.97K,32.83,5.53%,460706,25.45%,22.64%,-20.47%,-30.90%,-29.23%,-28.47%,5.45%,5.24%,2.50,453.97K,1.01,32.83,5.53%,460706,2.05B,2.44%,1.50%,3.30%,4.30%,-,-,1.03,1.03,64.10%,28.00%,10.50%,Apr 28/a,32.83,5.53%,460706,1.00,1.61,24.11%,25.24%,-18.39%,-33.35%,62.93%,70.29,32.83,5.53%,-0.06%,5.59%,460706
AAU,2020-06-05,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,55.29M,-,0.48,2.13%,260123,55.29M,-,-,-,-,1.07,30.72,-,-3.20%,-,31.70%,-,-,0.48,2.13%,260123,55.29M,112.03M,111.70M,7.20%,0.00%,5.90%,49.49%,1.22%,3.38,402.30K,0.48,2.13%,260123,1.18%,17.07%,30.29%,-9.43%,3.18%,-18.51%,5.57%,7.57%,-,402.30K,0.65,0.48,2.13%,260123,55.29M,-,-4.50%,-4.80%,-,3.90,3.90,0.04,0.05,-,-,-,Apr 09/a,0.48,2.13%,260123,1.08,0.03,7.04%,21.99%,-5.17%,-41.46%,126.31%,59.48,0.48,2.13%,4.35%,-2.13%,260123
