Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-06-22,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,27.18B,40.63,88.53,-0.23%,1242356,24.83,4.35,5.19,5.74,20.53,59.99,26.10%,15.03%,37.50%,9.35%,5.00%,309.00M,307.66M,0.50%,-6.45%,89.80%,1.15%,1.67%,2.37,2.16M,1.81%,9.63%,39.70%,4.76%,20.71%,3.77%,1.97%,2.35%,2.20,0.57,0.81%,7.40%,14.30%,15.20%,1.60,1.20,0.38,0.52,53.70%,15.10%,13.00%,May 21/a,1.12,2.22,0.34%,7.67%,11.06%,-4.85%,44.82%,60.26,-0.17%,-0.06%
AA,2020-06-22,Alcoa Corporation,Basic Materials,Aluminum,USA,2.23B,-,11.83,3.05%,7802916,-,-,0.22,0.51,2.69,82.67,-559.70%,86.60%,-34.10%,-,-4.50%,186.00M,185.07M,0.60%,0.05%,78.50%,-11.32%,6.38%,1.19,9.89M,3.68%,42.87%,108.64%,-44.90%,-47.65%,-45.00%,5.73%,7.39%,2.70,0.79,-,-5.80%,-19.00%,-9.60%,1.50,0.80,0.42,0.42,17.00%,-2.00%,-8.40%,Apr 22/a,2.30,0.83,9.21%,33.17%,-22.21%,-51.97%,129.26%,62.28,3.41%,-0.35%
AAL,2020-06-22,American Airlines Group Inc.,Industrials,Airlines,USA,6.50B,-,14.92,-6.75%,116518273,-,-,0.15,-,1.82,-,25.20%,90.00%,-0.70%,-3.32%,1.40%,425.71M,416.38M,1.40%,0.89%,71.30%,-16.33%,30.50%,1.38,92.09M,-10.66%,50.86%,45.56%,-47.74%,-52.74%,-47.98%,7.42%,11.19%,3.30,1.27,2.68%,-1.20%,113.10%,10.30%,0.40,0.30,-,-,60.30%,0.30%,-1.70%,Apr 30/b,1.79,1.71,1.50%,22.50%,-32.41%,-57.36%,80.85%,52.28,0.34%,-7.06%
AAN,2020-06-22,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.02B,-,43.56,3.08%,641029,10.87,-,0.75,2.01,5.48,10.88,-83.50%,23.95%,-15.70%,10.10%,7.90%,66.82M,66.71M,1.10%,0.00%,-,-1.62%,6.07%,3.71,1.09M,-0.86%,29.26%,177.10%,-26.37%,-28.95%,-23.73%,5.76%,6.29%,1.90,0.59,0.37%,-9.50%,-17.70%,2.10%,-,-,0.45,0.45,96.80%,-9.30%,-7.50%,May 07/b,1.62,2.9,4.36%,27.79%,-11.20%,-44.62%,234.95%,59.28,3.42%,-0.33%
AAOI,2020-06-22,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,204.27M,-,9.94,1.43%,635790,-,-,1.14,0.78,-,-,-12.80%,84.50%,-68.80%,13.00%,7.90%,20.21M,19.12M,8.00%,-1.81%,60.30%,-0.86%,29.01%,7.71,719.75K,10.08%,14.78%,44.06%,-12.04%,7.00%,-16.33%,6.61%,5.47%,3.20,0.88,-,-15.20%,-25.30%,-15.60%,1.90,1.00,0.36,0.54,22.50%,-30.60%,-40.50%,May 07/a,1.97,0.54,6.44%,7.33%,-2.81%,-37.80%,98.80%,57.25,1.84%,-0.41%
AAON,2020-06-22,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.81B,44.12,54.05,1.26%,152696,38.88,3.68,5.70,9.19,-,45.36,27.00%,-4.20%,5.10%,12.00%,5.70%,52.07M,40.58M,19.60%,-1.85%,71.20%,-3.61%,8.01%,12.6,258.17K,2.54%,4.36%,13.19%,9.63%,12.35%,9.39%,2.99%,3.70%,3.30,0.59,0.70%,17.70%,22.70%,18.10%,3.10,1.90,0.02,0.02,27.70%,16.30%,13.10%,May 07/b,0.73,2.13,-0.81%,7.30%,7.82%,-9.92%,33.52%,54.38,1.98%,-0.71%
AAP,2020-06-22,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.68B,27.63,151.6,4.62%,1789732,18.05,3.73,1.13,2.96,8.34,30.39,21.10%,31.28%,0.40%,7.40%,-0.30%,69.18M,68.85M,0.40%,2.35%,-,-1.29%,2.84%,1.83,1.07M,9.97%,12.47%,93.12%,-3.12%,-1.07%,-5.34%,4.17%,3.47%,2.30,1.68,0.66%,3.40%,10.90%,12.30%,1.40,0.40,0.35,0.49,43.70%,5.80%,4.10%,May 19/b,1.33,5.77,7.52%,17.76%,7.92%,-11.57%,112.54%,66.59,4.47%,0.14%
AAPL,2020-06-22,Apple Inc.,Technology,Consumer Electronics,USA,1564.40B,28.13,358.87,2.62%,33564216,24.15,2.45,5.84,19.95,16.63,29.73,-2.60%,19.92%,13.00%,11.48%,7.30%,4.36B,4.33B,0.10%,-2.18%,62.00%,-0.62%,0.79%,0.85,40.29M,4.63%,13.26%,59.95%,28.16%,80.54%,22.21%,2.11%,2.36%,2.00,0.83,0.91%,17.30%,64.50%,26.90%,1.50,1.50,1.14,1.40,38.10%,24.50%,21.40%,Apr 30/a,1.18,8.61,7.65%,15.90%,28.98%,0.65%,86.35%,73.61,2.06%,0.55%
AAT,2020-06-22,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.79B,36.90,28.34,0.21%,450152,40.49,12.30,4.73,1.29,18.02,-,101.50%,20.69%,18.40%,3.00%,7.10%,59.73M,59.38M,0.50%,52.01%,99.40%,-0.83%,0.75%,0.99,453.48K,-5.88%,9.29%,28.53%,-36.87%,-40.32%,-38.26%,4.34%,5.09%,2.70,0.99,2.82%,1.50%,3.30%,4.30%,-,-,1.03,1.03,64.10%,28.00%,10.50%,Apr 28/a,1.00,1.69,-3.43%,2.20%,-27.98%,-42.47%,40.65%,48.41,1.14%,-0.92%
AAU,2020-06-22,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,58.04M,-,0.49,3.55%,260648,-,-,-,1.06,32.24,-,-3.20%,-,31.70%,-,-,112.03M,111.70M,7.20%,0.00%,5.90%,47.07%,1.05%,2.95,398.32K,-2.41%,12.49%,101.28%,-5.86%,-21.85%,-17.30%,7.34%,7.62%,-,0.65,-,-4.50%,-4.80%,-,3.90,3.90,0.04,0.04,-,-,-,Apr 09/a,1.07,0.04,0.15%,10.62%,-1.09%,-40.60%,129.66%,52.7,3.64%,-0.09%
