Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-07-09,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,27.59B,41.27,89.92,0.42%,1130415,25.21,4.41,5.27,5.83,20.84,60.90,26.10%,14.99%,37.50%,9.35%,5.00%,309.00M,307.66M,0.50%,-6.16%,89.80%,1.18%,1.43%,2.23,1.97M,2.05%,0.17%,17.25%,4.66%,22.56%,5.40%,1.57%,2.21%,2.40,0.57,0.80%,7.40%,14.30%,15.20%,1.60,1.20,0.38,0.52,53.70%,15.10%,13.00%,May 21/a,1.12,1.86,2.28%,5.86%,11.81%,-3.35%,47.10%,61.02,0.30%,0.12%
AA,2020-07-09,Alcoa Corporation,Basic Materials,Aluminum,USA,1.95B,-,10.52,-5.14%,8055731,-,-,0.19,0.46,2.36,72.31,-559.70%,88.30%,-34.10%,-,-4.50%,186.00M,185.07M,0.60%,0.05%,78.50%,-11.46%,6.20%,1.21,9.51M,-3.93%,-16.44%,44.90%,-48.58%,-53.47%,-51.09%,6.88%,6.71%,2.70,0.85,-,-5.80%,-19.00%,-9.60%,1.50,0.80,0.42,0.42,17.00%,-2.00%,-8.40%,Jul 15/a,2.28,0.84,-7.57%,7.04%,-27.94%,-57.29%,103.88%,47.07,-4.62%,-0.54%
AAL,2020-07-09,American Airlines Group Inc.,Industrials,Airlines,USA,5.82B,-,11.18,-6.76%,76562697,-,-,0.13,-,1.63,-,25.20%,90.50%,-0.70%,-9.44%,1.40%,425.71M,417.74M,1.10%,0.95%,59.40%,-16.39%,30.94%,1.3,99.22M,-12.72%,-39.73%,-1.32%,-59.84%,-66.06%,-61.02%,6.39%,8.56%,3.30,0.77,3.58%,-1.20%,113.10%,10.30%,0.40,0.30,-,-,60.30%,0.30%,-1.70%,Apr 30/b,1.73,1.51,-22.16%,-11.41%,-47.10%,-68.05%,35.52%,38.7,-6.21%,-0.58%
AAN,2020-07-09,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.00B,-,43.81,-0.02%,518815,10.90,-,0.74,2.02,5.44,10.79,-83.50%,24.22%,-15.70%,10.10%,7.90%,66.82M,66.69M,1.30%,0.00%,-,-1.54%,4.15%,3.03,913.88K,-3.27%,-9.61%,85.09%,-25.24%,-30.88%,-23.29%,4.03%,5.45%,1.90,0.57,0.37%,-9.50%,-17.70%,2.10%,-,-,0.45,0.45,96.80%,-9.30%,-7.50%,May 07/b,1.62,2.42,-0.87%,12.75%,-8.76%,-44.30%,236.87%,52.78,0.41%,-0.43%
AAOI,2020-07-09,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,230.52M,-,12.0,6.29%,1471763,-,-,1.29,0.94,-,-,-12.80%,84.50%,-68.80%,13.00%,7.90%,20.21M,19.04M,8.00%,-3.36%,60.20%,-1.02%,28.42%,7.46,724.97K,17.76%,23.78%,49.81%,-5.51%,16.39%,1.01%,6.90%,6.92%,3.20,2.03,-,-15.20%,-25.30%,-15.60%,1.90,1.00,0.36,0.54,22.50%,-30.60%,-40.50%,May 07/a,1.98,0.7,21.21%,24.04%,17.83%,-24.91%,140.00%,66.65,6.29%,0.00%
AAON,2020-07-09,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.73B,43.62,53.44,-1.53%,184375,38.45,3.64,5.53,9.09,-,43.98,27.00%,-4.20%,5.10%,12.00%,5.70%,52.07M,40.58M,19.60%,-1.88%,71.30%,-3.67%,8.21%,13.85,240.46K,1.42%,-6.72%,8.95%,6.86%,4.72%,8.16%,3.63%,3.72%,3.30,0.77,0.71%,17.70%,22.70%,18.10%,3.10,1.90,0.02,0.02,27.70%,16.30%,13.10%,May 07/b,0.74,2.05,-0.10%,2.83%,6.06%,-10.93%,32.01%,50.9,-1.13%,-0.41%
AAP,2020-07-09,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.25B,24.38,133.75,-1.98%,543048,15.80,3.29,0.98,2.62,7.23,26.32,21.10%,30.16%,0.40%,7.40%,-0.30%,69.18M,68.85M,0.40%,2.40%,-,-1.27%,2.81%,1.98,978.39K,-5.78%,-7.25%,30.46%,-12.67%,-14.50%,-16.49%,3.28%,3.70%,2.30,0.56,0.75%,3.40%,10.90%,12.30%,1.40,0.40,0.35,0.49,43.70%,5.80%,4.10%,May 19/b,1.31,4.76,-5.79%,-1.26%,-4.33%,-21.98%,87.51%,41.26,-1.42%,-0.56%
AAPL,2020-07-09,Apple Inc.,Technology,Consumer Electronics,USA,1658.88B,30.00,382.73,0.36%,31115390,25.78,2.62,6.19,21.27,17.64,31.53,-2.60%,19.69%,13.00%,11.46%,7.30%,4.36B,4.33B,0.07%,-3.29%,62.00%,-0.61%,0.80%,0.98,35.66M,5.11%,11.26%,43.85%,26.23%,88.32%,30.34%,1.66%,2.43%,2.00,0.87,0.86%,17.30%,64.50%,26.90%,1.50,1.50,1.14,1.40,38.10%,24.50%,21.40%,Jul 30/a,1.19,8.59,6.87%,15.81%,33.33%,0.32%,98.74%,72.34,-0.59%,0.95%
AAT,2020-07-09,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.59B,32.59,26.43,1.61%,562097,37.76,10.86,4.20,1.21,30.34,-,101.50%,20.69%,10.50%,3.00%,7.10%,59.72M,59.38M,0.40%,80.82%,99.40%,-0.88%,0.96%,1.34,423.89K,-6.04%,-20.61%,-1.20%,-41.89%,-45.19%,-42.42%,4.05%,4.51%,2.80,1.33,3.03%,1.70%,3.60%,4.30%,-,-,1.00,1.00,64.10%,30.10%,12.30%,Apr 28/a,0.99,1.42,-7.32%,-5.31%,-30.77%,-46.35%,31.17%,42.06,2.28%,-0.65%
AAU,2020-07-09,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,56.37M,-,0.5,-2.79%,484310,-,-,-,1.10,31.32,-,-3.20%,-,31.70%,-,-,112.03M,111.65M,7.20%,0.00%,5.90%,51.83%,1.07%,3.13,380.91K,1.20%,-2.77%,72.34%,-6.56%,-23.66%,-14.33%,5.94%,6.77%,-,1.27,-,-4.50%,-4.80%,-,3.90,3.90,0.04,0.04,-,-,-,Apr 09/a,1.10,0.03,1.11%,7.31%,5.10%,-38.46%,137.91%,53.94,-4.79%,2.10%
