,0
1967-02-01,
1967-03-01,
1967-04-01,
1967-05-01,
1967-06-01,1.05
1967-07-01,0.4
1967-08-01,0.0
1967-09-01,0.6
1967-10-01,0.05
1967-11-01,0.0
1967-12-01,0.05
1968-01-01,1.48
1968-02-01,0.05
1968-03-01,0.05
1968-04-01,0.02
1968-05-01,0.0
1968-06-01,0.0
1968-07-01,0.02
1968-08-01,0.18
1968-09-01,0.02
1968-10-01,0.0
1968-11-01,0.0
1968-12-01,0.08
1969-01-01,0.02
1969-02-01,0.0
1969-03-01,0.02
1969-04-01,0.1
1969-05-01,0.05
1969-06-01,0.0
1969-07-01,0.02
1969-08-01,0.05
1969-09-01,4.4
1969-10-01,8.08
1969-11-01,55.08
1969-12-01,61.02
1970-01-01,73.95
1970-02-01,63.98
1970-03-01,65.5
1970-04-01,69.85
1970-05-01,68.2
1970-06-01,65.1
1970-07-01,65.2
1970-08-01,79.4
1970-09-01,90.6
1970-10-01,94.38
1970-11-01,49.42
1970-12-01,0.0
1971-01-01,0.15
1971-02-01,1.55
1971-03-01,0.6
1971-04-01,0.02
1971-05-01,0.0
1971-06-01,0.1
1971-07-01,0.52
1971-08-01,0.27
1971-09-01,0.0
1971-10-01,0.0
1971-11-01,0.0
1971-12-01,0.0
1972-01-01,0.0
1972-02-01,0.08
1972-03-01,0.05
1972-04-01,0.0
1972-05-01,0.0
1972-06-01,0.0
1972-07-01,0.35
1972-08-01,0.0
1972-09-01,0.0
1972-10-01,0.0
1972-11-01,0.0
1972-12-01,0.0
1973-01-01,0.0
1973-02-01,0.0
1973-03-01,0.32
1973-04-01,0.43
1973-05-01,0.12
1973-06-01,0.1
1973-07-01,0.08
1973-08-01,0.1
1973-09-01,0.0
1973-10-01,0.0
1973-11-01,0.27
1973-12-01,26.4
1974-01-01,30.28
1974-02-01,26.52
1974-03-01,24.0
1974-04-01,23.7
1974-05-01,22.38
1974-06-01,38.1
1974-07-01,55.55
1974-08-01,84.8
1974-09-01,89.12
1974-10-01,97.15
1974-11-01,100.0
1974-12-01,100.0
1975-01-01,100.0
1975-02-01,99.92
1975-03-01,95.95
1975-04-01,22.98
1975-05-01,3.78
1975-06-01,0.5
1975-07-01,0.0
1975-08-01,0.0
1975-09-01,0.05
1975-10-01,0.08
1975-11-01,0.05
1975-12-01,0.0
1976-01-01,0.0
1976-02-01,0.02
1976-03-01,0.12
1976-04-01,0.1
1976-05-01,0.0
1976-06-01,0.05
1976-07-01,0.0
1976-08-01,0.0
1976-09-01,0.05
1976-10-01,0.18
1976-11-01,0.0
1976-12-01,0.0
1977-01-01,0.27
1977-02-01,0.0
1977-03-01,0.0
1977-04-01,0.0
1977-05-01,0.0
1977-06-01,0.0
1977-07-01,0.0
1977-08-01,0.08
1977-09-01,0.0
1977-10-01,0.02
1977-11-01,0.08
1977-12-01,1.3
1978-01-01,11.68
1978-02-01,0.08
1978-03-01,0.0
1978-04-01,0.0
