Ticker,Company,Sector,Industry,Country
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA
AA,Alcoa Corporation,Basic Materials,Aluminum,USA
AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China
AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA
AAL,American Airlines Group Inc.,Industrials,Airlines,USA
AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA
AAME,Atlantic American Corporation,Financial,Insurance - Life,USA
AAN,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA
AAPL,Apple Inc.,Technology,Consumer Electronics,USA
AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA
AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada
AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA
AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA
AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA
ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA
ABCB,Ameris Bancorp,Financial,Banks - Regional,USA
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA
ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA
ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA
ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA
